name,group,type,possible_if,computed,computed_from,cardinality,value_set,value_set_location,description,example,comments
product_type,product,Array[Text],,False,,Single,True,type_emerghaz_elec,Type of product involved in the incident.,See type_emerghaz_elec,
original_battery,product,Boolean,,False,,Single,False,,Whether the battery was the original battery for the product.,True,
installation_status,location,Boolean,,False,,Single,False,,Whether the battery was permanently installed.,True,
safety_listed,product,Boolean,,False,,Single,False,,"Whether the battery was listed by an independent testing company, such as UL or Intertek.",True,
vehicle_battery,product,Boolean,,False,,Single,False,,Whether the battery was an electric vehicle battery.,True,Triggers mod_transportation_fire
charging_at_ignition,location,Boolean,,False,,Single,False,,Whether the battery was charging at the time of ignition.,False,
incident_indoor_outdoor,location,Array[Text],,False,,Single,True,type_indoor_outdoor,Location of the battery at the time of ignition - Indoors or Outdoors.,Indoor,
in_direct_sunlight,location,Boolean,,False,,Single,False,,Whether the battery was exposed to direct sunlight at the time of ignition.,False,
primary_indoor_outdoor,location,Array[Text],,False,,Single,True,type_indoor_outdoor,Primary storage location of the battery when not in use - Indoors or Outdoors.,Outdoor,
impacted_from_source,incident,Boolean,,False,,Single,False,,Whether the battery was impacted due to the ignition of another source.,False,
thermal_runaway,incident,Boolean,,False,,Single,False,,Whether the battery displayed signs of thermal runaway.,True,
fd_suppression,incident,Array[Text],,False,,Multi,False,type_emerghaz_suppression,Type of suppression/mitigation efforts employed by the fire department to suppress the battery fire.,See type_emerghaz_suppression,
battery_cell,product,Array[Text],,False,,Single,True,type_battery_cell,Type of cell of the batter.,See type battery_cell,
battery_chemistry,product,Array[Text],,False,,Single,True,type_battery_chemistry,Chemistry type of the battery.,See type_battery_chemistry,
battery_size_voltage,product,Integer,,False,,Single,False,,Unit of measure which represents the difference in electrical potential,3.6,
battery_size_amp_hour,product,Integer,,False,,Single,False,,Unit of measure for a battery's energy capacity,2.6,
battery_size_watt_hour,product,Integer,,False,,Single,False,,Unit of measurement for energy that quantifies the amount of power (watts) used over time.,9,
battery_charge,product,Integer,,False,,Single,False,,Unit of measure of the state of charge percentage of the battery,75,
