,active,value,description,definition,source
0,True,CIRCUITS_TRIPPED,Circuits Tripped,,
1,True,GAS_FUEL_ON,Gas / Fuel On,,
2,True,CO_DETECTED,CO Detected,,
3,True,OTHER,Other,,
