,active,value_1,value_2,value_3,description_1,description_2,definiton_1,definition_2,source
0,TRUE,FAILURE_TO_CONTROL_HAZARDOUS_MATERIAL: ABANDONED_OR_DISCARDED,FAILURE_TO_CONTROL_HAZARDOUS_MATERIAL,ABANDONED_OR_DISCARDED,Failure To Control Hazardous Material,Abandoned or Discarded,,,
1,TRUE,FAILURE_TO_CONTROL_HAZARDOUS_MATERIAL: IMPROPER_ENVIRONMENT_STOAGE,FAILURE_TO_CONTROL_HAZARDOUS_MATERIAL,IMPROPER_ENVIRONMENT_STOAGE,Failure To Control Hazardous Material,Improper Environment Storage,,,
2,TRUE,FAILURE_TO_CONTROL_HAZARDOUS_MATERIAL: IMPROPER_TRANSFER,FAILURE_TO_CONTROL_HAZARDOUS_MATERIAL,IMPROPER_TRANSFER,Failure To Control Hazardous Material,Improper Transfer,,,
3,TRUE,MISUSE_OF_HAZARDOUS_MATERIALS: IMPROPER_MIXING,MISUSE_OF_HAZARDOUS_MATERIALS,IMPROPER_MIXING,Misuse of Hazardous Materials,Improper Mixing,,,
4,TRUE,MISUSE_OF_HAZARDOUS_MATERIALS: IMPROPER_USE,MISUSE_OF_HAZARDOUS_MATERIALS,IMPROPER_USE,Misuse of Hazardous Materials,Improper Use (Wrong Purpose),,,
5,TRUE,MISUSE_OF_HAZARDOUS_MATERIALS: IMPROPER_CONTAINER,MISUSE_OF_HAZARDOUS_MATERIALS,IMPROPER_CONTAINER,Misuse of Hazardous Materials,Improper Container,,,
6,TRUE,MECHANICAL_FAILURE_MALFUNCTION: AUTOMATIC_CONTROL_FAILURE,MECHANICAL_FAILURE_MALFUNCTION,AUTOMATIC_CONTROL_FAILURE,Mechanical Failure / Malfunction,Automatic Control Failure,,,
7,TRUE,MECHANICAL_FAILURE_MALFUNCTION: MANUAL_CONTROL_FAILURE,MECHANICAL_FAILURE_MALFUNCTION,MANUAL_CONTROL_FAILURE,Mechanical Failure / Malfunction,Manual Control Failure,,,
8,TRUE,MECHANICAL_FAILURE_MALFUNCTION: ELECTRICAL_FAILURE,MECHANICAL_FAILURE_MALFUNCTION,ELECTRICAL_FAILURE,Mechanical Failure / Malfunction,Electrical Failure,,,
9,TRUE,MECHANICAL_FAILURE_MALFUNCTION: LACK_OF_MAINTENANCE,MECHANICAL_FAILURE_MALFUNCTION,LACK_OF_MAINTENANCE,Mechanical Failure / Malfunction,Lack of Maintenance,,,
10,TRUE,DESIGN_CONSTRUCTION_INSTALLATION_DEFICIENCY: DESIGN_DEFICIENCY,DESIGN_CONSTRUCTION_INSTALLATION_DEFICIENCY,DESIGN_DEFICIENCY,Design / Construction / Installation Deficiency,Design Deficiency,,,
11,TRUE,DESIGN_CONSTRUCTION_INSTALLATION_DEFICIENCY: CONSTRUCTION_DEFICIENCY,DESIGN_CONSTRUCTION_INSTALLATION_DEFICIENCY,CONSTRUCTION_DEFICIENCY,Design / Construction / Installation Deficiency,Construction Deficiency,,,
12,TRUE,DESIGN_CONSTRUCTION_INSTALLATION_DEFICIENCY: INSTALLATION_DEFICIENCY,DESIGN_CONSTRUCTION_INSTALLATION_DEFICIENCY,INSTALLATION_DEFICIENCY,Design / Construction / Installation Deficiency,Installation Deficiency,,,
13,TRUE,OPERATIONAL_DEFICIENCY: COLLISION_OVERTURN_KNOCKDOWN,OPERATIONAL_DEFICIENCY,COLLISION_OVERTURN_KNOCKDOWN,Operational Deficiency,Collision / Overturn / Knockdown,,,
14,TRUE,OPERATIONAL_DEFICIENCY: ACCIDENTAL_IMPROPER_POWER_ON,OPERATIONAL_DEFICIENCY,ACCIDENTAL_IMPROPER_POWER_ON,Operational Deficiency,Accidental / Improper Power On,,,
15,TRUE,OPERATIONAL_DEFICIENCY: ACCIDENTAL_IMPROPER_SHUTDOWN,OPERATIONAL_DEFICIENCY,ACCIDENTAL_IMPROPER_SHUTDOWN,Operational Deficiency,Accidental / Improper Shutdown,,,
16,TRUE,OPERATIONAL_DEFICIENCY: EQUIPMENT_UNATTENDED,OPERATIONAL_DEFICIENCY,EQUIPMENT_UNATTENDED,Operational Deficiency,Equipment Unattended,,,
17,TRUE,NATURAL_CONDITION: HIGH_WIND,NATURAL_CONDITION,HIGH_WIND,Natural Condition,High Wind,,,
18,TRUE,NATURAL_CONDITION: EARTHQUAKE,NATURAL_CONDITION,EARTHQUAKE,Natural Condition,Earthquake,,,
19,TRUE,NATURAL_CONDITION: LIGHTNING,NATURAL_CONDITION,LIGHTNING,Natural Condition,Lightning,,,
20,TRUE,NATURAL_CONDITION: FLOOD,NATURAL_CONDITION,FLOOD,Natural Condition,Flood,,,
21,TRUE,NATURAL_CONDITION: HIGH_TEMPERATURE,NATURAL_CONDITION,HIGH_TEMPERATURE,Natural Condition,High Temperature,,,
22,TRUE,NATURAL_CONDITION: LOWER_TEMPERATURE,NATURAL_CONDITION,LOWER_TEMPERATURE,Natural Condition,Lower Temperature,,,
