,active,value,description,definition,source
0,True,AUTOMOBILE,Automobile,,
1,True,AIRPLANE,Airplane,,
2,True,HELICOPTER,Helicopter,,
3,True,AERIAL_OTHER,Aerial - Other,,
4,True,BOAT_SHIP,Boat / Ship,,
5,True,MOTORCYCLE,Motorcycle,,
6,True,RAIL,Rail,,
7,True,TRAILER,Trailer,,
8,True,FARM,Farm,,
9,True,FOOD_TRUCK,Food Truck,,
10,True,CONSTRUCTION,Construction,,
11,True,MOTORIZED_HOME,Motorized Home,,
12,True,BUS,Bus,,
13,True,ATV,ATV,,
14,True,SPORT_UTILITY,Sport Utility,,
15,True,MILITARY_OTHER,Miltary - Other,,
16,True,UTILITY_VEHICLE,Utility Vehicles,,
17,True,AERIAL_LIFT_PLATFORM,Aerial Lift Platform,,
18,True,TOW_TRUCK,Tow Truck,,
19,True,VAN,Van,,
20,True,CARGO,Cargo,,
21,True,FREIGHT,Freight,,
22,True,SCOOTER_MOPED,Scooter / Moped,,
23,True,BICYCLE,Bicycle,,
24,True,JET_SKI,Jet Ski,,
