,active,value,value_1,value_2,value_3,description_1,description_2,description_3,comments
0,TRUE,NATURAL: LIGHTNING ,NATURAL,LIGHTNING,,Natural,Lightning,,
1,TRUE,NATURAL: VOLCANO ,NATURAL,VOLCANO,,Natural,Volcano,,
2,TRUE,NATURAL: SPONTANEOUS_COMBUSTION ,NATURAL,SPONTANEOUS_COMBUSTION,,Natural,Spontaneous Combustion,,
3,TRUE,NATURAL: OTHER ,NATURAL,OTHER,,Natural,Other,,
4,TRUE,NATURAL: ANIMAL ,NATURAL,ANIMAL,,Natural,Animal,,
5,TRUE,NATURAL: UNKNOWN ,NATURAL,UNKNOWN,,Natural,Unknown,,
6,TRUE,DEBRIS_OPEN_BURNING: BRANDING ,DEBRIS_OPEN_BURNING,BRANDING,,Debris / Open Burning,Branding,,
7,TRUE,DEBRIS_OPEN_BURNING: BURN_BARREL ,DEBRIS_OPEN_BURNING,BURN_BARREL,,Debris / Open Burning,Burn Barrel,,
8,TRUE,DEBRIS_OPEN_BURNING: BURNING_PERSONAL_ITEMS ,DEBRIS_OPEN_BURNING,BURNING_PERSONAL_ITEMS,,Debris / Open Burning,Burning Personal Items,,
9,TRUE,DEBRIS_OPEN_BURNING: DISTRESS_SIGNAL_FIRE ,DEBRIS_OPEN_BURNING,DISTRESS_SIGNAL_FIRE,,Debris / Open Burning,Distress / Signal Fire,,
10,TRUE,DEBRIS_OPEN_BURNING: DITCH_FENCE_LINE_BURNING ,DEBRIS_OPEN_BURNING,DITCH_FENCE_LINE_BURNING,,Debris / Open Burning,Ditch / Fence Line Burning,,
11,TRUE,DEBRIS_OPEN_BURNING: ESCAPED_PRESCRIBED_BURN ,DEBRIS_OPEN_BURNING,ESCAPED_PRESCRIBED_BURN,,Debris / Open Burning,Escaped Prescribed Burn,,
12,TRUE,DEBRIS_OPEN_BURNING: FIELD_AGRICULTURAL_BURNING ,DEBRIS_OPEN_BURNING,FIELD_AGRICULTURAL_BURNING,,Debris / Open Burning,Field / Agricultural Burning,,
13,TRUE,DEBRIS_OPEN_BURNING: HAND_PILE_SLASH ,DEBRIS_OPEN_BURNING,HAND_PILE_SLASH,,Debris / Open Burning,Hand Pile / Slash,,
14,TRUE,DEBRIS_OPEN_BURNING: MACHINE_PILE_SLASH ,DEBRIS_OPEN_BURNING,MACHINE_PILE_SLASH,,Debris / Open Burning,Machine Pile / Slash,,
15,TRUE,DEBRIS_OPEN_BURNING: OPEN_TRASH_BURNING ,DEBRIS_OPEN_BURNING,OPEN_TRASH_BURNING,,Debris / Open Burning,Open Trash Burning,,
16,TRUE,DEBRIS_OPEN_BURNING: OTHER_LAND_CLEARING ,DEBRIS_OPEN_BURNING,OTHER_LAND_CLEARING,,Debris / Open Burning,Other Land Clearing,,
17,TRUE,DEBRIS_OPEN_BURNING: PEST_CONTROL_DETERRENT_SMOKE_OUT ,DEBRIS_OPEN_BURNING,PEST_CONTROL_DETERRENT_SMOKE_OUT,,Debris / Open Burning,Pest Control / Deterrent / Smoke Out,,
18,TRUE,DEBRIS_OPEN_BURNING: RIGHT_OF_WAY_CLEARING ,DEBRIS_OPEN_BURNING,RIGHT_OF_WAY_CLEARING,,Debris / Open Burning,Right-of-Way Clearing,,
19,TRUE,DEBRIS_OPEN_BURNING: YARD_DEBRIS ,DEBRIS_OPEN_BURNING,YARD_DEBRIS,,Debris / Open Burning,Yard Debris,,
20,TRUE,DEBRIS_OPEN_BURNING: OTHER ,DEBRIS_OPEN_BURNING,OTHER,,Debris / Open Burning,Other,,
21,TRUE,DEBRIS_OPEN_BURNING: UNKNOWN ,DEBRIS_OPEN_BURNING,UNKNOWN,,Debris / Open Burning,Unknown,,
22,TRUE,EQUIPMENT_VEHICLE_USE: ELECTRIC_MOTOR_POWER_TOOLS_BATTERY ,EQUIPMENT_VEHICLE_USE,ELECTRIC_MOTOR_POWER_TOOLS_BATTERY,,Equipment and Vehicle Use,Electric Motor / Power Tools / Battery,,
23,TRUE,EQUIPMENT_VEHICLE_USE: TRAILER ,EQUIPMENT_VEHICLE_USE,TRAILER,,Equipment and Vehicle Use,Trailer,,
24,TRUE,EQUIPMENT_VEHICLE_USE: AIRCRAFT ,EQUIPMENT_VEHICLE_USE,AIRCRAFT,,Equipment and Vehicle Use,Aircraft,,
25,TRUE,EQUIPMENT_VEHICLE_USE: CHAINSAW_BRUSH_SAW_WEED_TRIMMER ,EQUIPMENT_VEHICLE_USE,CHAINSAW_BRUSH_SAW_WEED_TRIMMER,,Equipment and Vehicle Use,Chainsaw / Brush Saw  / Weed Trimmer,,
26,TRUE,EQUIPMENT_VEHICLE_USE: COMMERCIAL_TRANSPORT_VEHICLE ,EQUIPMENT_VEHICLE_USE,COMMERCIAL_TRANSPORT_VEHICLE,,Equipment and Vehicle Use,Commercial Transport Vehicle,,
27,TRUE,EQUIPMENT_VEHICLE_USE: HEAVY_EQUIPMENT_IMPLEMENTS ,EQUIPMENT_VEHICLE_USE,HEAVY_EQUIPMENT_IMPLEMENTS,,Equipment and Vehicle Use,Heavy Equipment / Implements,,
28,TRUE,EQUIPMENT_VEHICLE_USE: OHV_ATV_MOTORCYCLE ,EQUIPMENT_VEHICLE_USE,OHV_ATV_MOTORCYCLE,,Equipment and Vehicle Use,OHV / ATV / motorcycle,,
29,TRUE,EQUIPMENT_VEHICLE_USE: PASSENGER_VEHICLE_MOTORIZED_RV ,EQUIPMENT_VEHICLE_USE,PASSENGER_VEHICLE_MOTORIZED_RV,,Equipment and Vehicle Use,Passenger Vehicle / Motorized RV,,
30,TRUE,EQUIPMENT_VEHICLE_USE: TRACTOR_MOWER_BRUSH_HOG ,EQUIPMENT_VEHICLE_USE,TRACTOR_MOWER_BRUSH_HOG,,Equipment and Vehicle Use,Tractor / Mower / Brush Hog,,
31,TRUE,EQUIPMENT_VEHICLE_USE: UAS_MODEL_ROCKETS_AIRPLANES ,EQUIPMENT_VEHICLE_USE,UAS_MODEL_ROCKETS_AIRPLANES,,Equipment and Vehicle Use,UAS / Model Rockets / Airplanes,,
32,TRUE,EQUIPMENT_VEHICLE_USE: WATERCRAFT ,EQUIPMENT_VEHICLE_USE,WATERCRAFT,,Equipment and Vehicle Use,Watercraft,,
33,TRUE,EQUIPMENT_VEHICLE_USE: HOT_WORK ,EQUIPMENT_VEHICLE_USE,HOT_WORK,,Equipment and Vehicle Use,"Hot Work (Welder, Grinder, Torch, Cutter)",,
34,TRUE,EQUIPMENT_VEHICLE_USE: OTHER_SMALL_ENGINE_EQUIPMENT ,EQUIPMENT_VEHICLE_USE,OTHER_SMALL_ENGINE_EQUIPMENT,,Equipment and Vehicle Use,Other Small Engine Equipment,,
35,TRUE,EQUIPMENT_VEHICLE_USE: OTHER ,EQUIPMENT_VEHICLE_USE,OTHER,,Equipment and Vehicle Use,Other,,
36,TRUE,EQUIPMENT_VEHICLE_USE: UNKNOWN ,EQUIPMENT_VEHICLE_USE,UNKNOWN,,Equipment and Vehicle Use,Unknown,,
37,TRUE,FIREARMS_EXPLOSIVES: BLACK_POWDER_MUZZLE_LOADING ,FIREARMS_EXPLOSIVES,BLACK_POWDER_MUZZLE_LOADING,,Firearms and Explosive Use,Black Powder / Muzzle Loading,,
38,TRUE,FIREARMS_EXPLOSIVES: BLASTING ,FIREARMS_EXPLOSIVES,BLASTING,,Firearms and Explosive Use,Blasting,,
