,active,value,value_1,value_2,value_3,description_1,description_2,description_3,comments
39,TRUE,FIREARMS_EXPLOSIVES: EXPLODING_TARGET_SHOOTING ,FIREARMS_EXPLOSIVES,EXPLODING_TARGET_SHOOTING,,Firearms and Explosive Use,Exploding Target Shooting,,
40,TRUE,FIREARMS_EXPLOSIVES: DENTONATED_CORD ,FIREARMS_EXPLOSIVES,DENTONATED_CORD,,Firearms and Explosive Use,Dentonating Cord,,
41,TRUE,FIREARMS_EXPLOSIVES: FLARES_FUSES ,FIREARMS_EXPLOSIVES,FLARES_FUSES,,Firearms and Explosive Use,Flares / Fuses,,
42,TRUE,FIREARMS_EXPLOSIVES: INERT_TARGET_SHOOTING ,FIREARMS_EXPLOSIVES,INERT_TARGET_SHOOTING,,Firearms and Explosive Use,Inert Target Shooting,,
43,TRUE,FIREARMS_EXPLOSIVES: MILITARY_ORDINANCE ,FIREARMS_EXPLOSIVES,MILITARY_ORDINANCE,,Firearms and Explosive Use,Military ordinance,,
44,TRUE,FIREARMS_EXPLOSIVES: NON_MILITARY_TRACER ,FIREARMS_EXPLOSIVES,NON_MILITARY_TRACER,,Firearms and Explosive Use,Non-Military Tracer,,
45,TRUE,FIREARMS_EXPLOSIVES: AMMONIUM_NITRATE_FUEL_OIL ,FIREARMS_EXPLOSIVES,AMMONIUM_NITRATE_FUEL_OIL,,Firearms and Explosive Use,Ammoniun Nitrate Fuel Oil (ANFO),,
46,TRUE,FIREARMS_EXPLOSIVES: IMPROVISED_EXPLOSIVE_DEVICE ,FIREARMS_EXPLOSIVES,IMPROVISED_EXPLOSIVE_DEVICE,,Firearms and Explosive Use,Improvied Explosive Device,,
47,TRUE,FIREARMS_EXPLOSIVES: PIPE_BOMB ,FIREARMS_EXPLOSIVES,PIPE_BOMB,,Firearms and Explosive Use,Pipe Bomb,,
48,TRUE,FIREARMS_EXPLOSIVES: OTHER_EXPLOSIVES ,FIREARMS_EXPLOSIVES,OTHER_EXPLOSIVES,,Firearms and Explosive Use,Other Explosives,,
49,TRUE,FIREARMS_EXPLOSIVES: OTHER ,FIREARMS_EXPLOSIVES,OTHER,,Firearms and Explosive Use,Other,,
50,TRUE,FIREARMS_EXPLOSIVES: UNKNOWN ,FIREARMS_EXPLOSIVES,UNKNOWN,,Firearms and Explosive Use,Unknown,,
51,TRUE,FIREWORKS: EXPLOSIVES M_80,FIREWORKS,EXPLOSIVES,M_80,Fireworks,Explosives,M-80,
52,TRUE,FIREWORKS: EXPLOSIVES M_100,FIREWORKS,EXPLOSIVES,M_100,Fireworks,Explosives,M-100,
53,TRUE,FIREWORKS: EXPLOSIVES M_1000,FIREWORKS,EXPLOSIVES,M_1000,Fireworks,Explosives,M-1000,
54,TRUE,FIREWORKS: EXPLOSIVES 1_4_Stick,FIREWORKS,EXPLOSIVES,1_4_Stick,Fireworks,Explosives,1/4 Stick,
55,TRUE,FIREWORKS: EXPLOSIVES CHERRY_BOMB,FIREWORKS,EXPLOSIVES,CHERRY_BOMB,Fireworks,Explosives,Cherry Bomb,
56,TRUE,FIREWORKS: EXPLOSIVES SILVER_SALUTE,FIREWORKS,EXPLOSIVES,SILVER_SALUTE,Fireworks,Explosives,Silver Salute,
57,TRUE,FIREWORKS: EXPLOSIVES SPARKLER_BOMB,FIREWORKS,EXPLOSIVES,SPARKLER_BOMB,Fireworks,Explosives,Sparkler Bomb,
58,TRUE,FIREWORKS: EXPLOSIVES ALTERED_CONSUMER_FIREWORKS,FIREWORKS,EXPLOSIVES,ALTERED_CONSUMER_FIREWORKS,Fireworks,Explosives,Altered Consumer Firework,
59,TRUE,FIREWORKS: EXPLOSIVES HOMEMADE_EXPLOSIVE_DEVICE,FIREWORKS,EXPLOSIVES,HOMEMADE_EXPLOSIVE_DEVICE,Fireworks,Explosives,Homemade Explosive Device,
60,TRUE,FIREWORKS: PROFESSIONAL_DISPLAY OUTDOOR_AERIAL_SHELL,FIREWORKS,PROFESSIONAL_DISPLAY,OUTDOOR_AERIAL_SHELL,Fireworks,Professional Public Display,Outdoor Aerial Shells,
61,TRUE,FIREWORKS: PROFESSIONAL_DISPLAY OUTDOOR_LOW_LEVEL,FIREWORKS,PROFESSIONAL_DISPLAY,OUTDOOR_LOW_LEVEL,Fireworks,Professional Public Display,Outdoor Low-Level,
62,TRUE,FIREWORKS: PROFESSIONAL_DISPLAY OUTDOOR_GROUND_LEVEL,FIREWORKS,PROFESSIONAL_DISPLAY,OUTDOOR_GROUND_LEVEL,Fireworks,Professional Public Display,Outdoor Ground-Level,
63,TRUE,FIREWORKS: PROFESSIONAL_DISPLAY OUTDOOR_PROXIMATE,FIREWORKS,PROFESSIONAL_DISPLAY,OUTDOOR_PROXIMATE,Fireworks,Professional Public Display,Outdoor Proximate,
64,TRUE,FIREWORKS: PROFESSIONAL_DISPLAY INDOOR_PROXIMATE,FIREWORKS,PROFESSIONAL_DISPLAY,INDOOR_PROXIMATE,Fireworks,Professional Public Display,Indoor Proximate,
65,TRUE,FIREWORKS: CONSUMER_AERIAL COMETS_MINES_SHELLS,FIREWORKS,CONSUMER_AERIAL,COMETS_MINES_SHELLS,Fireworks,Consumer Aerial,Comets / Mines / Shells,
66,TRUE,FIREWORKS: CONSUMER_AERIAL RELOADABLE_TUBE_AERIAL,FIREWORKS,CONSUMER_AERIAL,RELOADABLE_TUBE_AERIAL,Fireworks,Consumer Aerial,Reloadable Tube Aerial,
67,TRUE,FIREWORKS: CONSUMER_AERIAL ROMAN_CANDLES,FIREWORKS,CONSUMER_AERIAL,ROMAN_CANDLES,Fireworks,Consumer Aerial,Roman Candles,
68,TRUE,FIREWORKS: CONSUMER_AERIAL ROCKETS,FIREWORKS,CONSUMER_AERIAL,ROCKETS,Fireworks,Consumer Aerial,Rockets,
69,TRUE,FIREWORKS: CONSUMER_AERIAL MISSLES,FIREWORKS,CONSUMER_AERIAL,MISSLES,Fireworks,Consumer Aerial,Missles,
70,TRUE,FIREWORKS: CONSUMER_AERIAL HELICOPTERS,FIREWORKS,CONSUMER_AERIAL,HELICOPTERS,Fireworks,Consumer Aerial,Helicopters,
71,TRUE,FIREWORKS: CONSUMER_AERIAL OTHER_SPECIALTY_ITEMS,FIREWORKS,CONSUMER_AERIAL,OTHER_SPECIALTY_ITEMS,Fireworks,Consumer Aerial,Other Specialty Items,
72,TRUE,FIREWORKS: CONSUMER_NON_AERIAL COMBINAITON_ITEMS,FIREWORKS,CONSUMER_NON_AERIAL,COMBINAITON_ITEMS,Fireworks,Consumer Non-Aerial,Combination Items,
73,TRUE,FIREWORKS: CONSUMER_NON_AERIAL FOUNTAINS,FIREWORKS,CONSUMER_NON_AERIAL,FOUNTAINS,Fireworks,Consumer Non-Aerial,Fountains,
74,TRUE,FIREWORKS: CONSUMER_NON_AERIAL GROUND_SPINNERS,FIREWORKS,CONSUMER_NON_AERIAL,GROUND_SPINNERS,Fireworks,Consumer Non-Aerial,Ground Spinners,
75,TRUE,FIREWORKS: CONSUMER_NON_AERIAL HANDHELD_SPARKLERS,FIREWORKS,CONSUMER_NON_AERIAL,HANDHELD_SPARKLERS,Fireworks,Consumer Non-Aerial,Handheld Sparklers,
76,TRUE,FIREWORKS: CONSUMER_NON_AERIAL WHEELS,FIREWORKS,CONSUMER_NON_AERIAL,WHEELS,Fireworks,Consumer Non-Aerial,Wheels,
77,TRUE,FIREWORKS: CONSUMER_NON_AERIAL FIRECRACKERS,FIREWORKS,CONSUMER_NON_AERIAL,FIRECRACKERS,Fireworks,Consumer Non-Aerial,Firecrackers,
78,TRUE,FIREWORKS: CONSUMER_NON_AERIAL CHASERS,FIREWORKS,CONSUMER_NON_AERIAL,CHASERS,Fireworks,Consumer Non-Aerial,Chasers,
79,TRUE,FIREWORKS: CONSUMER_NON_AERIAL OTHER_SPECIALTY_ITEMS,FIREWORKS,CONSUMER_NON_AERIAL,OTHER_SPECIALTY_ITEMS,Fireworks,Consumer Non-Aerial,Other Specialty Items,
80,TRUE,FIREWORKS: DEREGULATED_NOVELTIES SNAP_CAPS,FIREWORKS,DEREGULATED_NOVELTIES,SNAP_CAPS,Fireworks,Deregulated Novelties,Snap Caps,
81,TRUE,FIREWORKS: DEREGULATED_NOVELTIES PARTY_POPPERS,FIREWORKS,DEREGULATED_NOVELTIES,PARTY_POPPERS,Fireworks,Deregulated Novelties,Party Poppers,
82,TRUE,FIREWORKS: DEREGULATED_NOVELTIES SMOKE_BALLS,FIREWORKS,DEREGULATED_NOVELTIES,SMOKE_BALLS,Fireworks,Deregulated Novelties,Smoke Balls,
83,TRUE,FIREWORKS: DEREGULATED_NOVELTIES SNAKES,FIREWORKS,DEREGULATED_NOVELTIES,SNAKES,Fireworks,Deregulated Novelties,Snakes,
84,TRUE,FIREWORKS: DEREGULATED_NOVELTIES WIRE_CORE_SPARKLERS,FIREWORKS,DEREGULATED_NOVELTIES,WIRE_CORE_SPARKLERS,Fireworks,Deregulated Novelties,Wire-Core Sparklers,
85,TRUE,FIREWORKS: MODEL_AMATEUR_ROCKETS ,FIREWORKS,MODEL_AMATEUR_ROCKETS,,Fireworks,Model / Amateur Rockets,,
86,TRUE,FIREWORKS: OTHER ,FIREWORKS,OTHER,,Fireworks,Other,,
87,TRUE,FIREWORKS: UNKNOWN ,FIREWORKS,UNKNOWN,,Fireworks,Unknown,,
88,TRUE,POWER_GEN_TRANS_DIST: ELECTRICAL_TRANSMISSION_DISTRIBUTION_SYSTEMS ,POWER_GEN_TRANS_DIST,ELECTRICAL_TRANSMISSION_DISTRIBUTION_SYSTEMS,,Power Generation / Transmission / Distribution,Electrical Transmission / Distribution Systems,,
89,TRUE,POWER_GEN_TRANS_DIST: OIL_GAS_PRODUCTION_TRANSPORTATION ,POWER_GEN_TRANS_DIST,OIL_GAS_PRODUCTION_TRANSPORTATION,,Power Generation / Transmission / Distribution,Oil / Gas Production / Transportation,,
90,TRUE,POWER_GEN_TRANS_DIST: SOLAR_UTILITY_SYSTEM ,POWER_GEN_TRANS_DIST,SOLAR_UTILITY_SYSTEM,,Power Generation / Transmission / Distribution,Solar Utility System,,
91,TRUE,POWER_GEN_TRANS_DIST: ENERGY_STORAGE_SYSTEM ,POWER_GEN_TRANS_DIST,ENERGY_STORAGE_SYSTEM,,Power Generation / Transmission / Distribution,Energy Storage System,,
92,TRUE,POWER_GEN_TRANS_DIST: WIND_TURBINE_WINDMILLS_UTLITY_SYSTEM ,POWER_GEN_TRANS_DIST,WIND_TURBINE_WINDMILLS_UTLITY_SYSTEM,,Power Generation / Transmission / Distribution,Wind Turbine / Windmills Utlity System,,
93,TRUE,POWER_GEN_TRANS_DIST: OTHER ,POWER_GEN_TRANS_DIST,OTHER,,Power Generation / Transmission / Distribution,Other,,
94,TRUE,POWER_GEN_TRANS_DIST: UNKNOWN ,POWER_GEN_TRANS_DIST,UNKNOWN,,Power Generation / Transmission / Distribution,Unknown,,
95,TRUE,RAILROAD_OPS_MAINTENANCE: BRAKES ,RAILROAD_OPS_MAINTENANCE,BRAKES,,Railroad Operations / Maintenance,Brakes,,
96,TRUE,RAILROAD_OPS_MAINTENANCE: DERAILMENT ,RAILROAD_OPS_MAINTENANCE,DERAILMENT,,Railroad Operations / Maintenance,Derailment,,
97,TRUE,RAILROAD_OPS_MAINTENANCE: DYNAMIC_GRID_FAILURE ,RAILROAD_OPS_MAINTENANCE,DYNAMIC_GRID_FAILURE,,Railroad Operations / Maintenance,Dynamic Grid Failure,,
98,TRUE,RAILROAD_OPS_MAINTENANCE: EXHAUST_PARTICLES ,RAILROAD_OPS_MAINTENANCE,EXHAUST_PARTICLES,,Railroad Operations / Maintenance,Exhaust Particles,,
99,TRUE,RAILROAD_OPS_MAINTENANCE: RAIL_GRINDING ,RAILROAD_OPS_MAINTENANCE,RAIL_GRINDING,,Railroad Operations / Maintenance,Rail Grinding,,
100,TRUE,RAILROAD_OPS_MAINTENANCE: RIGHT_OF_WAY_VEGETATION_MAINTENANCE ,RAILROAD_OPS_MAINTENANCE,RIGHT_OF_WAY_VEGETATION_MAINTENANCE,,Railroad Operations / Maintenance,Right-of-Way Vegetation Maintenance,,
101,TRUE,RAILROAD_OPS_MAINTENANCE: TRACK_REPLACEMENT ,RAILROAD_OPS_MAINTENANCE,TRACK_REPLACEMENT,,Railroad Operations / Maintenance,Track Replacement,,
102,TRUE,RAILROAD_OPS_MAINTENANCE: HOT_WORK ,RAILROAD_OPS_MAINTENANCE,HOT_WORK,,Railroad Operations / Maintenance,"Hot Work (Welder, Grinder, Torch, Cutter)",,
103,TRUE,RAILROAD_OPS_MAINTENANCE: OTHER_MECHANICAL_FAILURE ,RAILROAD_OPS_MAINTENANCE,OTHER_MECHANICAL_FAILURE,,Railroad Operations / Maintenance,Other Mechanical Failure,,
104,TRUE,RAILROAD_OPS_MAINTENANCE: OTHER ,RAILROAD_OPS_MAINTENANCE,OTHER,,Railroad Operations / Maintenance,Other,,
105,TRUE,RAILROAD_OPS_MAINTENANCE: UNKNOWN ,RAILROAD_OPS_MAINTENANCE,UNKNOWN,,Railroad Operations / Maintenance,Unknown,,
106,TRUE,RECREATION_CEREMONY: BARBEQUE_SMOKER ,RECREATION_CEREMONY,BARBEQUE_SMOKER,,Recreation / Ceremony,Barbeque / Smoker,,
107,TRUE,RECREATION_CEREMONY: BONFIRE_PARTY_FIRE ,RECREATION_CEREMONY,BONFIRE_PARTY_FIRE,,Recreation / Ceremony,Bonfire / Party Fire,,
108,TRUE,RECREATION_CEREMONY: CAMPFIRE ,RECREATION_CEREMONY,CAMPFIRE,,Recreation / Ceremony,Campfire,,
109,TRUE,RECREATION_CEREMONY: CEREMONIAL_FIRE ,RECREATION_CEREMONY,CEREMONIAL_FIRE,,Recreation / Ceremony,Ceremonial Fire,,
110,TRUE,RECREATION_CEREMONY: GAS_COOKING_WARMING_LIGHTING_DEVICE ,RECREATION_CEREMONY,GAS_COOKING_WARMING_LIGHTING_DEVICE,,Recreation / Ceremony,Gas Cooking / Warming / Lighting Device,,
111,TRUE,RECREATION_CEREMONY: LUMINARY ,RECREATION_CEREMONY,LUMINARY,,Recreation / Ceremony,Luminary (Aerial / Ground),,
112,TRUE,RECREATION_CEREMONY: OUTDOOR_OVEN_FIREPLACE_METAL_FIRE_RING ,RECREATION_CEREMONY,OUTDOOR_OVEN_FIREPLACE_METAL_FIRE_RING,,Recreation / Ceremony,Outdoor Oven / Fireplace / Metal Fire Ring,,
113,TRUE,RECREATION_CEREMONY: OTHER ,RECREATION_CEREMONY,OTHER,,Recreation / Ceremony,Other,,
114,TRUE,RECREATION_CEREMONY: UNKNOWN ,RECREATION_CEREMONY,UNKNOWN,,Recreation / Ceremony,Unknown,,
115,TRUE,SMOKING_MATERIALS_ILLICIT_DRUGS: CIGAR_CIGARETTE_PIPE ,SMOKING_MATERIALS_ILLICIT_DRUGS,CIGAR_CIGARETTE_PIPE,,Smoking Materials and Illicit Drugs,Cigar / Cigarette / Pipe,,
116,TRUE,SMOKING_MATERIALS_ILLICIT_DRUGS: ELECTRONIC_CIGARETTE ,SMOKING_MATERIALS_ILLICIT_DRUGS,ELECTRONIC_CIGARETTE,,Smoking Materials and Illicit Drugs,Electronic Cigarette,,
117,TRUE,SMOKING_MATERIALS_ILLICIT_DRUGS: DRUG_PARAPHERNALIA ,SMOKING_MATERIALS_ILLICIT_DRUGS,DRUG_PARAPHERNALIA,,Smoking Materials and Illicit Drugs,Drug Paraphernalia,,
118,TRUE,SMOKING_MATERIALS_ILLICIT_DRUGS: ILLEGAL_SUBSTANCE_MANUFACTURE ,SMOKING_MATERIALS_ILLICIT_DRUGS,ILLEGAL_SUBSTANCE_MANUFACTURE,,Smoking Materials and Illicit Drugs,Illegal Substance Manufacture,,
119,TRUE,SMOKING_MATERIALS_ILLICIT_DRUGS: OTHER ,SMOKING_MATERIALS_ILLICIT_DRUGS,OTHER,,Smoking Materials and Illicit Drugs,Other,,
120,TRUE,SMOKING_MATERIALS_ILLICIT_DRUGS: UNKNOWN ,SMOKING_MATERIALS_ILLICIT_DRUGS,UNKNOWN,,Smoking Materials and Illicit Drugs,Unknown,,
121,TRUE,MISUSE_FIRE: LIGHTER_MATCHES ,MISUSE_FIRE,LIGHTER_MATCHES,,Misuse of Fire,Lighter / Matches,,
122,TRUE,MISUSE_FIRE: GLASS_REFRACTION_MAGNIFYING_GLASS ,MISUSE_FIRE,GLASS_REFRACTION_MAGNIFYING_GLASS,,Misuse of Fire,Glass Refraction / Magnifying Glass,,
123,TRUE,MISUSE_FIRE: INCENDIARY_DEVICE ,MISUSE_FIRE,INCENDIARY_DEVICE,,Misuse of Fire,Incendiary Device,,
124,TRUE,MISUSE_FIRE: FLINT_FRICTION ,MISUSE_FIRE,FLINT_FRICTION,,Misuse of Fire,Flint / Friction,,
125,TRUE,MISUSE_FIRE: OTHER ,MISUSE_FIRE,OTHER,,Misuse of Fire,Other,,
126,TRUE,MISUSE_FIRE: UNKNOWN ,MISUSE_FIRE,UNKNOWN,,Misuse of Fire,Unknown,,
127,TRUE,ARSON: DEVICE ,ARSON,DEVICE,,Arson,Device,,
128,TRUE,ARSON: HOT_SET ,ARSON,HOT_SET,,Arson,Hot Set,,
129,TRUE,ARSON: OTHER ,ARSON,OTHER,,Arson,Other,,
130,TRUE,ARSON: UNKNOWN ,ARSON,UNKNOWN,,Arson,Unknown,,
131,TRUE,STRUCTURE: SPREAD_FROM_STRUCTURE ,STRUCTURE,SPREAD_FROM_STRUCTURE,,Structure,Spread From Structure,,
132,TRUE,STRUCTURE: ELECTRIC_FENCE ,STRUCTURE,ELECTRIC_FENCE,,Structure,Electric Fence,,
133,TRUE,UNDETERMINED: UNDER_INVESTIGATION ,UNDETERMINED,UNDER_INVESTIGATION,,Undetermined,Under Investigation,,
134,TRUE,UNDETERMINED: NOT_INVESTIGATED ,UNDETERMINED,NOT_INVESTIGATED,,Undetermined,Not Investigated,,
135,TRUE,UNDETERMINED: ORIGIN_AND_OR_CAUSE_NOT_IDENTIFIED ,UNDETERMINED,ORIGIN_AND_OR_CAUSE_NOT_IDENTIFIED,,Undetermined,Origin and / or Cause Not Identified,,
136,TRUE,UNDETERMINED: ORIGIN_DESTROYED ,UNDETERMINED,ORIGIN_DESTROYED,,Undetermined,Origin Destroyed,,
