value,active,value_1,value_2,description_1,description_2,definition,source,NFIRS Crosswalk
AGRICULTURE_STRUCT: STORAGE_SILO,True,AGRICULTURE_STRUCT,STORAGE_SILO,Agriculture Structure,Crop or Product Storage / Silo,,,816
AGRICULTURE_STRUCT: FARM_BUILDING,True,AGRICULTURE_STRUCT,FARM_BUILDING,Agriculture Structure,Farm (Building),,,
AGRICULTURE_STRUCT: AUCTION_FEEDLOT,True,AGRICULTURE_STRUCT,AUCTION_FEEDLOT,Agriculture Structure,Auction / Feedlot,,,
AGRICULTURE_STRUCT: ANIMAL_PROCESSING,True,AGRICULTURE_STRUCT,ANIMAL_PROCESSING,Agriculture Structure,Animal Processing,,,659
AGRICULTURE_STRUCT: VETERINARY_LIVESTOCK,True,AGRICULTURE_STRUCT,VETERINARY_LIVESTOCK,Agriculture Structure,Veterinary (Livestock),,,819
ASSEMBLY: COMMUNITY_CENTER,True,ASSEMBLY,COMMUNITY_CENTER,Assembly,Community Center,,,116
ASSEMBLY: CONVENTION_CENTER,True,ASSEMBLY,CONVENTION_CENTER,Assembly,Convention Center,,,122
ASSEMBLY: INDOOR_ARENA,True,ASSEMBLY,INDOOR_ARENA,Assembly,Indoor Arena,,,"123, 182"
ASSEMBLY: OUTDOOR_ARENA_AMPHITHEATER_PARK,True,ASSEMBLY,MUSEUM_EXHIBIT_HALL_LIBRARY,Assembly,Outdoor Arena / Amphitheater / Amusement Park,,,"152, 151"
ASSEMBLY: TEMP_OUTDOOR_STRUCT_EVENT,True,ASSEMBLY,TEMP_OUTDOOR_STRUCT_EVENT,Assembly,Temporary Outdoor Structure / Event,,,"152, 151"
ASSEMBLY: RELIGIOUS,True,ASSEMBLY,RELIGIOUS,Assembly,Religious,,,"130, 131, 134"
ASSEMBLY: MUSEUM_EXHIBIT_HALL_LIBRARY,True,ASSEMBLY,MUSEUM_EXHIBIT_HALL_LIBRARY,Assembly,Museum / Exhibit Hall / Library,,,"152, 151"
