active,value,description,definition,source
TRUE,OPERATING_EQUIPMENT,Operating Equipment,,
TRUE,ELECTRICAL,Electrical,,
TRUE,BATTERY_POWER_STORAGE,Battery / Power Storage,,
TRUE,HEAT_FROM_ANOTHER_OBJECT,Heat From Another Object,,
TRUE,EXPLOSIVES_FIREWORKS,Explosives / Fireworks,,
TRUE,SMOKING_MATERIALS_ILLICIT_DRUGS,Smoking Materials / Illicit Drugs,,
TRUE,OPEN_FLAME,Open Flame,,
TRUE,COOKING,Cooking,,
TRUE,CHEMICAL,Chemical,,
TRUE,ACT_OF_NATURE,Act Of Nature,,
TRUE,INCENDIARY,Incendiary,,
TRUE,OTHER_HEAT_SOURCE,Other Heat Source,,
TRUE,UNABLE_TO_BE_DETERMINED,Unable to be Determined,,
