value,active,description,definition,source
LOCAL,TRUE,Local,"Includes career, combination, and volunteer fire departments and fire districts",
CONTRACT,TRUE,Contract,Contract fire department,
FEDERAL,TRUE,Federal,Federal government,
STATE,TRUE,State,State government (includes state forest fire agencies and state institution fire departments),
OTHER,TRUE,Other,,
PRIVATE,TRUE,Private,Private or industrial fire brigade,
TRANSPORTATION,TRUE,Transportation,Regional/metropolitan transportation authority or airport fire department,
TRIBAL,TRUE,Tribal,Tribal Nation (includes Native American and Alaska Native tribal fire departments),
