value,active,description,definition,source
EXPLOSIVES,TRUE,Explosives,,
GASES,TRUE,Gases,,
FLAMMABLE_LIQUIDS,TRUE,Flammable Liquids,,
FLAMMABLE_SOLIDS,TRUE,Flammable Solids,,
OXIDIZERS,TRUE,Oxidizers,,
POISONS_AND_ETIOLOGIC_MATERIALS,TRUE,Poisons and Etiologic Materials,,
RADIOACTIVE_MATERIALS,TRUE,Radioactive Materials,,
CORROSIVES,TRUE,Corrosives,,
MISCELLANEOUS_DANGEROUS_SUBSTANCES,TRUE,Miscellaneous Dangerous Substances and Articles,,
