value,active,description,definition,source,xor
REMOVAL_FROM_STRUCTURE,TRUE,Removal From Structure,,,removal
EXTRICATION,TRUE,Extrication,,,nonremoval
DISENTANGLEMENT,TRUE,Disentanglement,,,nonremoval
RECOVERY,TRUE,Recovery,,,nonremoval
OTHER,TRUE,Other,,,nonremoval
