value,active,description,definition,source
INTENTIONAL,TRUE,Intentional,,
UNINTENTIONAL,TRUE,Unintentional,,
CONTAINER_CONTAINMENT_FAILURE,TRUE,Container / Containment Failure,,
ACT_OF_NATURE,TRUE,Act of Nature,,
CAUSE_UNDER_INVESTIGATION,TRUE,Cause Under Investigation,,
