value,active,description,definition,source,xor
OPERATED_EFFECTIVE,TRUE,Operated - Effective,Prevention of flashover,,EFFECTIVE
OPERATED_NOT_EFFECTIVE,TRUE,Operated - Not Effective,,,INEFFECTIVE
NO_OPERATION,TRUE,Did Not Operate,,,FAILED
