active,value,description,definition,source
TRUE,ABBEY,Abbey,,NENA-STA-004
TRUE,ACCESS,Access,,NENA-STA-004
TRUE,ACCESS ROAD,Access Road,,NENA-STA-004
TRUE,ACRES,Acres,,NENA-STA-004
TRUE,AIRPORT,Airport,,NENA-STA-004
TRUE,ALCOVE,Alcove,,NENA-STA-004
TRUE,ALLE,Alle,,NENA-STA-004
TRUE,ALLEY,Alley,,NENA-STA-004
TRUE,ANNEX,Annex,,NENA-STA-004
TRUE,APPROACH,Approach,,NENA-STA-004
TRUE,ARC,Arc,,NENA-STA-004
TRUE,ARCADE,Arcade,,NENA-STA-004
TRUE,ARCH,Arch,,NENA-STA-004
TRUE,AVENIDA,Avenida,,NENA-STA-004
TRUE,AVENUE,Avenue,,NENA-STA-004
TRUE,AVENUE CIRCLE,Avenue Circle,,NENA-STA-004
TRUE,AVENUE COURT,Avenue Court,,NENA-STA-004
TRUE,AVENUE LOOP,Avenue Loop,,NENA-STA-004
TRUE,AVENUE PATH,Avenue Path,,NENA-STA-004
TRUE,AVENUE PLACE,Avenue Place,,NENA-STA-004
TRUE,AVENUE WAY,Avenue Way,,NENA-STA-004
TRUE,BANK,Bank,,NENA-STA-004
TRUE,BAY,Bay,,NENA-STA-004
TRUE,BAYOU,Bayou,,NENA-STA-004
TRUE,BAYWAY,Bayway,,NENA-STA-004
TRUE,BEACH,Beach,,NENA-STA-004
TRUE,BEND,Bend,,NENA-STA-004
TRUE,BLUFF,Bluff,,NENA-STA-004
TRUE,BLUFFS,Bluffs,,NENA-STA-004
TRUE,BOTTOM,Bottom,,NENA-STA-004
TRUE,BOARDWALK,Boardwalk,,NENA-STA-004
TRUE,BOULEVARD,Boulevard,,NENA-STA-004
TRUE,BRANCH,Branch,,NENA-STA-004
TRUE,BRIDGE,Bridge,,NENA-STA-004
TRUE,BROOK,Brook,,NENA-STA-004
TRUE,BROOKS,Brooks,,NENA-STA-004
TRUE,BUREAU OF INDIAN AFFAIRS ROUTE,Bureau of Indian Affairs Route,,NENA-STA-004
TRUE,BURG,Burg,,NENA-STA-004
TRUE,BURGS,Burgs,,NENA-STA-004
TRUE,BYPASS,Bypass,,NENA-STA-004
TRUE,CALLE,Calle,,NENA-STA-004
TRUE,CALLEJON,Callejon,,NENA-STA-004
TRUE,CAMINO,Camino,,NENA-STA-004
TRUE,CAMP,Camp,,NENA-STA-004
TRUE,CANYON,Canyon,,NENA-STA-004
TRUE,CAPE,Cape,,NENA-STA-004
TRUE,CARTWAY,Cartway,,NENA-STA-004
TRUE,CAUSEWAY,Causeway,,NENA-STA-004
TRUE,CENTER,Center,,NENA-STA-004
TRUE,CENTRE,Centre,,NENA-STA-004
TRUE,CENTERS,Centers,,NENA-STA-004
TRUE,CHANNEL,Channel,,NENA-STA-004
TRUE,CHASE,Chase,,NENA-STA-004
TRUE,CHEMIN,Chemin,,NENA-STA-004
TRUE,CIRCLE,Circle,,NENA-STA-004
TRUE,CIRCLES,Circles,,NENA-STA-004
TRUE,CIRCUS,Circus,,NENA-STA-004
TRUE,CLIFF,Cliff,,NENA-STA-004
TRUE,CLIFFS,Cliffs,,NENA-STA-004
