active,value,description,definition,source
TRUE,CLOSE,Close,,NENA-STA-004
TRUE,CLUB,Club,,NENA-STA-004
TRUE,CLUSTER,Cluster,,NENA-STA-004
TRUE,COAST HIGHWAY,Coast Highway,,NENA-STA-004
TRUE,COMMON,Common,,NENA-STA-004
TRUE,COMMONS,Commons,,NENA-STA-004
TRUE,CONCESSION ROAD,Concession Road,,NENA-STA-004
TRUE,CONCOURSE,Concourse,,NENA-STA-004
TRUE,CONNECT,Connect,,NENA-STA-004
TRUE,CONNECTOR,Connector,,NENA-STA-004
TRUE,CORNER,Corner,,NENA-STA-004
TRUE,CORNERS,Corners,,NENA-STA-004
TRUE,CORRIDOR,Corridor,,NENA-STA-004
TRUE,CORSO,Corso,,NENA-STA-004
TRUE,CORTE,Corte,,NENA-STA-004
TRUE,COUNTY FOREST ROAD,County Forest Road,,NENA-STA-004
TRUE,COUNTY HIGHWAY,County Highway,,NENA-STA-004
TRUE,COUNTY ROAD,County Road,,NENA-STA-004
TRUE,COUNTY ROUTE,County Route,,NENA-STA-004
TRUE,COUNTY STATE AID HIGHWAY,County State Aid Highway,,NENA-STA-004
TRUE,COURS,Cours,,NENA-STA-004
TRUE,COURSE,Course,,NENA-STA-004
TRUE,COURT,Court,,NENA-STA-004
TRUE,COURTS,Courts,,NENA-STA-004
TRUE,COVE,Cove,,NENA-STA-004
TRUE,COVES,Coves,,NENA-STA-004
TRUE,CREEK,Creek,,NENA-STA-004
TRUE,CRESCENT,Crescent,,NENA-STA-004
TRUE,CREST,Crest,,NENA-STA-004
TRUE,CROSS,Cross,,NENA-STA-004
TRUE,CROSSING,Crossing,,NENA-STA-004
TRUE,CROSSINGS,Crossings,,NENA-STA-004
TRUE,CROSSOVER,Crossover,,NENA-STA-004
TRUE,CROSSROAD,Crossroad,,NENA-STA-004
TRUE,CROSSROADS,Crossroads,,NENA-STA-004
TRUE,CROSSWAY,Crossway,,NENA-STA-004
TRUE,CURVE,Curve,,NENA-STA-004
TRUE,CUSTER COUNTY ROAD,Custer County Road,,NENA-STA-004
TRUE,CUTOFF,Cutoff,,NENA-STA-004
TRUE,CUTTING,Cutting,,NENA-STA-004
TRUE,DALE,Dale,,NENA-STA-004
TRUE,DAM,Dam,,NENA-STA-004
TRUE,DAWSON COUNTY ROAD,Dawson County Road,,NENA-STA-004
TRUE,DELL,Dell,,NENA-STA-004
TRUE,DIVIDE,Divide,,NENA-STA-004
TRUE,DOCK,Dock,,NENA-STA-004
TRUE,DOWN,Down,,NENA-STA-004
TRUE,DOWNS,Downs,,NENA-STA-004
TRUE,DRAW,Draw,,NENA-STA-004
TRUE,DRIFT,Drift,,NENA-STA-004
TRUE,DRIVE,Drive,,NENA-STA-004
TRUE,DRIVES,Drives,,NENA-STA-004
TRUE,DRIVEWAY,Driveway,,NENA-STA-004
TRUE,DUGWAY,Dugway,,NENA-STA-004
TRUE,ECHO,Echo,,NENA-STA-004
TRUE,EDGE,Edge,,NENA-STA-004
TRUE,END,End,,NENA-STA-004
TRUE,ENTRANCE,Entrance,,NENA-STA-004
TRUE,ENTRY,Entry,,NENA-STA-004
TRUE,ESPLANADE,Esplanade,,NENA-STA-004
TRUE,ESTATE,Estate,,NENA-STA-004
TRUE,ESTATES,Estates,,NENA-STA-004
TRUE,EXCHANGE,Exchange,,NENA-STA-004
TRUE,EXIT,Exit,,NENA-STA-004
TRUE,EXPRESSWAY,Expressway,,NENA-STA-004
TRUE,EXTENSION,Extension,,NENA-STA-004
TRUE,EXTENSIONS,Extensions,,NENA-STA-004
TRUE,FALL,Fall,,NENA-STA-004
TRUE,FALLS,Falls,,NENA-STA-004
TRUE,FARE,Fare,,NENA-STA-004
TRUE,FARM,Farm,,NENA-STA-004
TRUE,FARM TO MARKET,Farm to Market,,NENA-STA-004
TRUE,FEDERAL-AID SECONDARY HIGHWAY,Federal-Aid Secondary Highway,,NENA-STA-004
TRUE,FERRY,Ferry,,NENA-STA-004
TRUE,FIELD,Field,,NENA-STA-004
TRUE,FIELDS,Fields,,NENA-STA-004
TRUE,FLAT,Flat,,NENA-STA-004
TRUE,FLATS,Flats,,NENA-STA-004
TRUE,FLOWAGE,Flowage,,NENA-STA-004
TRUE,FLYWAY,Flyway,,NENA-STA-004
TRUE,FORD,Ford,,NENA-STA-004
TRUE,FORDS,Fords,,NENA-STA-004
TRUE,FOREST,Forest,,NENA-STA-004
TRUE,FOREST ROAD,Forest Road,,NENA-STA-004
TRUE,FOREST HIGHWAY,Forest Highway,,NENA-STA-004
TRUE,FORGE,Forge,,NENA-STA-004
TRUE,FORGES,Forges,,NENA-STA-004
TRUE,FORK,Fork,,NENA-STA-004
TRUE,FORKS,Forks,,NENA-STA-004
TRUE,FORT,Fort,,NENA-STA-004
TRUE,FREEWAY,Freeway,,NENA-STA-004
TRUE,FRONT,Front,,NENA-STA-004
TRUE,FRONTAGE ROAD,Frontage Road,,NENA-STA-004
TRUE,GABLES,Gables,,NENA-STA-004
TRUE,GARDEN,Garden,,NENA-STA-004
TRUE,GARDENS,Gardens,,NENA-STA-004
TRUE,GARTH,Garth,,NENA-STA-004
TRUE,GATE,Gate,,NENA-STA-004
TRUE,GATES,Gates,,NENA-STA-004
TRUE,GATEWAY,Gateway,,NENA-STA-004
TRUE,GLADE,Glade,,NENA-STA-004
TRUE,GLEN,Glen,,NENA-STA-004
TRUE,GLENS,Glens,,NENA-STA-004
TRUE,GORGE,Gorge,,NENA-STA-004
TRUE,GRADE,Grade,,NENA-STA-004
TRUE,GREEN,Green,,NENA-STA-004
TRUE,GREENS,Greens,,NENA-STA-004
TRUE,GREENWAY,Greenway,,NENA-STA-004
TRUE,GROVE,Grove,,NENA-STA-004
TRUE,GROVES,Groves,,NENA-STA-004
TRUE,HARBOR,Harbor,,NENA-STA-004
TRUE,HARBORS,Harbors,,NENA-STA-004
TRUE,HARBOUR,Harbour,,NENA-STA-004
TRUE,HAUL ROAD,Haul Road,,NENA-STA-004
TRUE,HAVEN,Haven,,NENA-STA-004
TRUE,HEATH,Heath,,NENA-STA-004
TRUE,HEIGHTS,Heights,,NENA-STA-004
TRUE,HIDEAWAY,Hideaway,,NENA-STA-004
TRUE,HIGHWAY,Highway,,NENA-STA-004
TRUE,HILL,Hill,,NENA-STA-004
TRUE,HILLS,Hills,,NENA-STA-004
TRUE,HOLLOW,Hollow,,NENA-STA-004
TRUE,HORN,Horn,,NENA-STA-004
TRUE,HORSESHOE,Horseshoe,,NENA-STA-004
TRUE,INDIAN SERVICE ROAD,Indian Service Road,,NENA-STA-004
TRUE,INLET,Inlet,,NENA-STA-004
TRUE,INTERSTATE,Interstate,,NENA-STA-004
TRUE,INTERVAL,Interval,,NENA-STA-004
TRUE,ISLAND,Island,,NENA-STA-004
TRUE,ISLANDS,Islands,,NENA-STA-004
TRUE,ISLE,Isle,,NENA-STA-004
TRUE,ISLES,Isles,,NENA-STA-004
TRUE,J-TURN,J-Turn,,NENA-STA-004
TRUE,JUNCTION,Junction,,NENA-STA-004
TRUE,JUNCTIONS,Junctions,,NENA-STA-004
TRUE,KEEP,Keep,,NENA-STA-004
TRUE,KEY,Key,,NENA-STA-004
TRUE,KEYS,Keys,,NENA-STA-004
TRUE,KNOLL,Knoll,,NENA-STA-004
TRUE,KNOLLS,Knolls,,NENA-STA-004
TRUE,LAIR,Lair,,NENA-STA-004
TRUE,LAKE,Lake,,NENA-STA-004
TRUE,LAKES,Lakes,,NENA-STA-004
TRUE,LAND,Land,,NENA-STA-004
TRUE,LANDING,Landing,,NENA-STA-004
TRUE,LANE,Lane,,NENA-STA-004
TRUE,LANE CIRCLE,Lane Circle,,NENA-STA-004
TRUE,LANE COURT,Lane Court,,NENA-STA-004
TRUE,LANE ROAD,Lane Road,,NENA-STA-004
TRUE,LATERAL,Lateral,,NENA-STA-004
TRUE,LEDGE,Ledge,,NENA-STA-004
TRUE,LIGHT,Light,,NENA-STA-004
TRUE,LIGHTS,Lights,,NENA-STA-004
TRUE,LINE,Line,,NENA-STA-004
TRUE,LOAF,Loaf,,NENA-STA-004
TRUE,LOCK,Lock,,NENA-STA-004
TRUE,LOCKS,Locks,,NENA-STA-004
TRUE,LODGE,Lodge,,NENA-STA-004
TRUE,LOOKOUT,Lookout,,NENA-STA-004
TRUE,LOOP,Loop,,NENA-STA-004
TRUE,LOOP ROAD,Loop Road,,NENA-STA-004
TRUE,LUGAR,Lugar,,NENA-STA-004
TRUE,MALL,Mall,,NENA-STA-004
TRUE,MANOR,Manor,,NENA-STA-004
TRUE,MANORS,Manors,,NENA-STA-004
TRUE,MARKET,Market,,NENA-STA-004
TRUE,MEADOW,Meadow,,NENA-STA-004
TRUE,MEADOWS,Meadows,,NENA-STA-004
TRUE,MEWS,Mews,,NENA-STA-004
TRUE,MILL,Mill,,NENA-STA-004
TRUE,MILLS,Mills,,NENA-STA-004
TRUE,MISSION,Mission,,NENA-STA-004
TRUE,MONTANA HIGHWAY,Montana Highway,,NENA-STA-004
TRUE,MOTORWAY,Motorway,,NENA-STA-004
TRUE,MOUNT,Mount,,NENA-STA-004
TRUE,MOUNTAIN,Mountain,,NENA-STA-004
TRUE,MOUNTAINS,Mountains,,NENA-STA-004
TRUE,NARROWS,Narrows,,NENA-STA-004
TRUE,NATIONAL FOREST DEVELOPMENT ROAD,National Forest Development Road,,NENA-STA-004
TRUE,NECK,Neck,,NENA-STA-004
TRUE,NOOK,Nook,,NENA-STA-004
TRUE,NORTH CAROLINA HIGHWAY,North Carolina Highway,,NENA-STA-004
TRUE,OAKS,Oaks,,NENA-STA-004
TRUE,OLD COUNTY ROAD,Old County Road,,NENA-STA-004
TRUE,ORCHARD,Orchard,,NENA-STA-004
TRUE,OVAL,Oval,,NENA-STA-004
TRUE,OVERLOOK,Overlook,,NENA-STA-004
TRUE,OVERPASS,Overpass,,NENA-STA-004
TRUE,OVI,Ovi,,NENA-STA-004
TRUE,PARK,Park,,NENA-STA-004
TRUE,PARKE,Parke,,NENA-STA-004
TRUE,PARKS,Parks,,NENA-STA-004
TRUE,PARKWAY,Parkway,,NENA-STA-004
TRUE,PARKWAYS,Parkways,,NENA-STA-004
TRUE,PASEO,Paseo,,NENA-STA-004
TRUE,PASS,Pass,,NENA-STA-004
TRUE,PASSAGE,Passage,,NENA-STA-004
TRUE,PATH,Path,,NENA-STA-004
TRUE,PATHWAY,Pathway,,NENA-STA-004
TRUE,PIKE,Pike,,NENA-STA-004
TRUE,PINE,Pine,,NENA-STA-004
TRUE,PINES,Pines,,NENA-STA-004
TRUE,PIAZZA,Piazza,,NENA-STA-004
TRUE,PLACE,Place,,NENA-STA-004
TRUE,PLACITA,Placita,,NENA-STA-004
TRUE,PLAIN,Plain,,NENA-STA-004
TRUE,PLAINS,Plains,,NENA-STA-004
TRUE,PLATZ,Platz,,NENA-STA-004
TRUE,PLAZA,Plaza,,NENA-STA-004
TRUE,POINT,Point,,NENA-STA-004
TRUE,POINTE,Pointe,,NENA-STA-004
TRUE,POINTS,Points,,NENA-STA-004
TRUE,PORT,Port,,NENA-STA-004
TRUE,PORTS,Ports,,NENA-STA-004
TRUE,PRAIRIE,Prairie,,NENA-STA-004
TRUE,PRIVATE ROAD,Private Road,,NENA-STA-004
TRUE,PROMENADE,Promenade,,NENA-STA-004
TRUE,PUBLIC ACCESS,Public Access,,NENA-STA-004
TRUE,QUARTER,Quarter,,NENA-STA-004
TRUE,QUAY,Quay,,NENA-STA-004
TRUE,RAMP,Ramp,,NENA-STA-004
TRUE,RADIAL,Radial,,NENA-STA-004
TRUE,RANCH,Ranch,,NENA-STA-004
TRUE,RANCHO,Rancho,,NENA-STA-004
TRUE,RAPID,Rapid,,NENA-STA-004
TRUE,RAPIDS,Rapids,,NENA-STA-004
TRUE,REACH,Reach,,NENA-STA-004
TRUE,RECREATIONAL ROAD,Recreational Road,,NENA-STA-004
TRUE,REST,Rest,,NENA-STA-004
TRUE,RETREAT,Retreat,,NENA-STA-004
TRUE,RIDGE,Ridge,,NENA-STA-004
TRUE,RIDGES,Ridges,,NENA-STA-004
TRUE,RISE,Rise,,NENA-STA-004
TRUE,RIVER,River,,NENA-STA-004
TRUE,RIVER ROAD,River Road,,NENA-STA-004
TRUE,ROAD,Road,,NENA-STA-004
TRUE,ROADS,Roads,,NENA-STA-004
TRUE,ROUND,Round,,NENA-STA-004
TRUE,ROUTE,Route,,NENA-STA-004
TRUE,ROW,Row,,NENA-STA-004
TRUE,RUE,Rue,,NENA-STA-004
TRUE,RUN,Run,,NENA-STA-004
TRUE,RUNNE,Runne,,NENA-STA-004
TRUE,RUNWAY,Runway,,NENA-STA-004
TRUE,SHOAL,Shoal,,NENA-STA-004
TRUE,SHOALS,Shoals,,NENA-STA-004
TRUE,SHORE,Shore,,NENA-STA-004
TRUE,SHORES,Shores,,NENA-STA-004
TRUE,SIDEROAD,Sideroad,,NENA-STA-004
TRUE,SKIES,Skies,,NENA-STA-004
TRUE,SKYWAY,Skyway,,NENA-STA-004
TRUE,SLIP,Slip,,NENA-STA-004
TRUE,SPRING,Spring,,NENA-STA-004
TRUE,SPRINGS,Springs,,NENA-STA-004
TRUE,SPUR,Spur,,NENA-STA-004
TRUE,SPURS,Spurs,,NENA-STA-004
TRUE,SQUARE,Square,,NENA-STA-004
TRUE,SQUARES,Squares,,NENA-STA-004
TRUE,STATE HIGHWAY,State Highway,,NENA-STA-004
TRUE,STATE PARK ROAD,State Park Road,,NENA-STA-004
TRUE,STATE PARKWAY,State Parkway,,NENA-STA-004
TRUE,STATE ROAD,State Road,,NENA-STA-004
TRUE,STATE ROUTE,State Route,,NENA-STA-004
TRUE,STATE SECONDARY,State Secondary,,NENA-STA-004
TRUE,STATE SPUR,State Spur,,NENA-STA-004
TRUE,STATION,Station,,NENA-STA-004
TRUE,STRAND,Strand,,NENA-STA-004
TRUE,STRASSE,Strasse,,NENA-STA-004
TRUE,STRAVENUE,Stravenue,,NENA-STA-004
TRUE,STREAM,Stream,,NENA-STA-004
TRUE,STREET,Street,,NENA-STA-004
TRUE,STREETS,Streets,,NENA-STA-004
TRUE,STREET COURT,Street Court,,NENA-STA-004
TRUE,STREET LOOP,Street Loop,,NENA-STA-004
TRUE,STREET PATH,Street Path,,NENA-STA-004
TRUE,STREET PLACE,Street Place,,NENA-STA-004
TRUE,STREET WAY,Street Way,,NENA-STA-004
TRUE,STREET CIRCLE,Street Circle,,NENA-STA-004
TRUE,STRIP,Strip,,NENA-STA-004
TRUE,SUMMIT,Summit,,NENA-STA-004
TRUE,TAXIWAY,Taxiway,,NENA-STA-004
TRUE,TERMINAL,Terminal,,NENA-STA-004
TRUE,TERN,Tern,,NENA-STA-004
TRUE,TERRACE,Terrace,,NENA-STA-004
TRUE,THROUGHWAY,Throughway,,NENA-STA-004
TRUE,THRUWAY,Thruway,,NENA-STA-004
TRUE,TIMBER ROAD,Timber Road,,NENA-STA-004
TRUE,TOWNLINE,Townline,,NENA-STA-004
TRUE,TOWN ROAD,Town Road,,NENA-STA-004
TRUE,TOWNSHIP ROAD,Township Road,,NENA-STA-004
TRUE,TRACE,Trace,,NENA-STA-004
TRUE,TRACK,Track,,NENA-STA-004
TRUE,TRAFFICWAY,Trafficway,,NENA-STA-004
TRUE,TRAIL,Trail,,NENA-STA-004
TRUE,TRAILER,Trailer,,NENA-STA-004
TRUE,TRIANGLE,Triangle,,NENA-STA-004
TRUE,TRUCK TRAIL,Truck Trail,,NENA-STA-004
TRUE,TUNNEL,Tunnel,,NENA-STA-004
TRUE,TURN,Turn,,NENA-STA-004
TRUE,TURNPIKE,Turnpike,,NENA-STA-004
TRUE,UNITED STATES FOREST SERVICE ROAD,United States Forest Service Road,,NENA-STA-004
TRUE,UNITED STATES HIGHWAY,United States Highway,,NENA-STA-004
TRUE,UNDERPASS,Underpass,,NENA-STA-004
TRUE,UNION,Union,,NENA-STA-004
TRUE,UNIONS,Unions,,NENA-STA-004
TRUE,UUNYE,Uunye,,NENA-STA-004
TRUE,VALLEY,Valley,,NENA-STA-004
TRUE,VALLEYS,Valleys,,NENA-STA-004
TRUE,VIA,Via,,NENA-STA-004
TRUE,VIADUCT,Viaduct,,NENA-STA-004
TRUE,VIEW,View,,NENA-STA-004
TRUE,VIEWS,Views,,NENA-STA-004
TRUE,VILLA,Villa,,NENA-STA-004
TRUE,VILLAGE,Village,,NENA-STA-004
TRUE,VILLAGES,Villages,,NENA-STA-004
TRUE,VILLE,Ville,,NENA-STA-004
TRUE,VISTA,Vista,,NENA-STA-004
TRUE,VOG,Vog,,NENA-STA-004
TRUE,WADDY,Waddy,,NENA-STA-004
TRUE,WALK,Walk,,NENA-STA-004
TRUE,WALKS,Walks,,NENA-STA-004
TRUE,WALL,Wall,,NENA-STA-004
TRUE,WAY,Way,,NENA-STA-004
TRUE,WAYS,Ways,,NENA-STA-004
TRUE,WEEG,Weeg,,NENA-STA-004
TRUE,WELL,Well,,NENA-STA-004
TRUE,WELLS,Wells,,NENA-STA-004
TRUE,WOODS,Woods,,NENA-STA-004
TRUE,WYE,Wye,,NENA-STA-004
TRUE,WYND,Wynd,,NENA-STA-004
