active,value,description,definition,source
TRUE,AMERICAN_INDIAN_ALASKA_NATIVE,American Indian or Alaska Native,,
TRUE,ASIAN,Asian,,
TRUE,BLACK_AFRICAN_AMERICAN,Black or African American,,
TRUE,HISPANIC_LATINO,Hispanic or Latino,,
TRUE,NATIVE_HAWAIIAN_PACIFIC_ISLANDER,Native Hawaiian or Pacific Islander,,
TRUE,WHITE,White,,
