value,active,description,definition,source
STRUCTURAL_FIREFIGHTING,TRUE,Conventional Structural and Other Fire Response,,
HIGHRISE_FIREFIGHTING,TRUE,High-Rise Structural Firefighting,,
WILDLAND_FIREFIGHTING,TRUE,Wildfire Response / Wildland Urban Interface,,
PETROCHEM_FIREFIGHTING,TRUE,Hydrocarbon and Petrochemical Firefighting,,
ARFF_FIREFIGHTING,TRUE,Aircraft Rescue and Firefighting (ARFF) Response,,
MARINE_FIREFIGHTING,TRUE,Marine/Oceanic/Shipboard Fire Suppression,,
HAZMAT_OPS,TRUE,Hazardous Materials Operations Level,,
HAZMAT_TECHNICIAN,TRUE,Hazardous Materials Technician Level,,
ROPE_RESCUE,TRUE,Rope Rescue,,
COLLAPSE_RESCUE,TRUE,Structural Collapse Search and Rescue,,
VEHICLE_RESCUE,TRUE,Vehicle Search and Rescue,,
ANIMAL_TECHRESCUE,TRUE,Animal Technical Rescue,,
WILDERNESS_SAR,TRUE,Wilderness Search and Rescue,,
TRENCH_RESCUE,TRUE,Trench Search and Rescue,,
CONFINED_SPACE,TRUE,Confined Space Rescue,,
MACHINERY_RESCUE,TRUE,Machinery Search and Rescue,,
CAVE_SAR,TRUE,Cave Search and Rescue,,
MINE_SAR,TRUE,Mine and Tunnel Search and Rescue,,
HELO_SAR,TRUE,Helicopter Search and Rescue,,
WATER_SAR,TRUE,Surface Water Search and Rescue,,
SWIFTWATER_SAR,TRUE,Swiftwater Search and Rescue,,
DIVE_SAR,TRUE,Dive Search and Rescue,,
ICE_RESCUE,TRUE,Ice Search and Rescue,,
SURF_RESCUE,TRUE,Surf Search and Rescue,,
WATERCRAFT_RESCUE,TRUE,Watercraft Search and Rescue,,
FLOOD_SAR,TRUE,Flood Search and Rescue,,
TOWER_SAR,TRUE,Tower Search and Rescue,,
REHABILITATION,TRUE,Rehabilitation Services,,
RRD_EXISTING,TRUE,Risk Reduction: Existing Building Fire Inspection,,
RRD_NEWCONST,TRUE,Risk Reduction: New Construction Fire Inspection,,
RRD_PUBLICED,TRUE,"Risk Reduction: Public Fire, Life Safety, Injury Prevention Education",,
RRD_PLANS,TRUE,Risk Reduction: Plan Review,,
CAUSE_ORIGIN,TRUE,Fire Cause Determination and Investigation,,
TRAINING_ELF,TRUE,"Training Academy, Entry-Level Firefighter",,
TRAINING_VETFF,TRUE,"Training Academy, Incumbent Firefighter",,
TRAINING_OD,TRUE,"Training Academy, Officer Development",,
TRAINING_DRIVER,TRUE,"Training Academy, Driver/Operator",,
