active,value,description,definition,source
TRUE,OF_THE,of the,,NENA-STA-004
TRUE,AT,at,,NENA-STA-004
TRUE,DE,de,,NENA-STA-004
TRUE,DE_LA,de la,,NENA-STA-004
TRUE,DEL,del,,NENA-STA-004
TRUE,DE_LAS,de las,,NENA-STA-004
TRUE,DES,des,,NENA-STA-004
TRUE,IN_THE,in the,,NENA-STA-004
TRUE,TO_THE,to the,,NENA-STA-004
TRUE,OF,of,,NENA-STA-004
TRUE,ON_THE,on the,,NENA-STA-004
TRUE,TO,to,,NENA-STA-004
