active,value,description,definition,source
TRUE,AIRCRAFT,Aircraft,"A device that is used or intended to be used for flight in the air, such as an airplane, helicopter, gyroplane, glider or lighter-than-air devices like a balloon.",IANA Location Type Registry
TRUE,AIRPORT,Airport,"A place from which aircraft operate, such as an airport or heliport.",IANA Location Type Registry
TRUE,ARENA,Arena,Enclosed area used for sports events.,IANA Location Type Registry
TRUE,AUTOMOBILE,Automobile,"A usually four-wheeled automotive vehicle designed for passenger transportation, such as a car.",IANA Location Type Registry
TRUE,BANK,Bank,"Business establishment in which money is kept for saving or commercial purposes or is invested, supplied for loans, or exchanged.",IANA Location Type Registry
TRUE,BAR,Bar,A bar or saloon.,IANA Location Type Registry
TRUE,BUS,Bus,A large motor vehicle designed to carry passengers.,IANA Location Type Registry
TRUE,BICYCLE,Bicycle,"A vehicle with two wheels tandem, a steering handle, a saddle seat, and pedals by which it is propelled.",IANA Location Type Registry
TRUE,BUS_STATION,Bus-station,"Terminal that serves bus passengers, such as a bus depot or bus terminal.",IANA Location Type Registry
TRUE,CAFE,Cafe,Usually small and informal establishment serving various refreshments (such as coffee); coffee shop.,IANA Location Type Registry
TRUE,CLASSROOM,Classroom,Academic classroom or lecture hall.,IANA Location Type Registry
TRUE,CLUB,Club,"Dance club, nightclub or discotheque.",IANA Location Type Registry
TRUE,CONSTRUCTION,Construction,Construction site.,IANA Location Type Registry
TRUE,CONVENTION_CENTER,Convention-center,Convention center or exhibition hall.,IANA Location Type Registry
TRUE,GOVERNMENT,Government,"Government building, such as those used by the legislative, executive, or judicial branches of governments, including court houses, police stations and military installations.",IANA Location Type Registry
TRUE,HOSPITAL,Hospital,"Hospital, hospice, medical clinic, mental institution, or doctor's office.",IANA Location Type Registry
TRUE,HOTEL,Hotel,"Hotel, motel, inn or other lodging establishment.",IANA Location Type Registry
TRUE,INDUSTRIAL,Industrial,"Industrial setting, such as a manufacturing floor or power plant.",IANA Location Type Registry
TRUE,LIBRARY,Library,"Library or other public place in which literary and artistic materials, such as books, music, periodicals, newspapers, pamphlets, prints, records, and tapes, are kept for reading, reference, or lending.",IANA Location Type Registry
TRUE,MOTORCYCLE,Motorcycle,"A two-wheeled automotive vehicle, including a scooter.",IANA Location Type Registry
TRUE,MUSEUM,Museum,"Location where objects of historical, artistic, scientific or cultural interest are stored and exhibited.",IANA Location Type Registry
TRUE,OFFICE,Office,"Business setting, such as an office.",IANA Location Type Registry
TRUE,OTHER,Other,A place without a registered place type representation.,IANA Location Type Registry
TRUE,OUTDOORS,Outdoors,"Outside a building, in or into the open air, such as a park or city streets.",IANA Location Type Registry
TRUE,PARKING,Parking,A parking lot or parking garage.,IANA Location Type Registry
TRUE,PLACE_OF_WORSHIP,Place-of-worship,"A religious site where congregations gather for religious observances, such as a church, chapel, meetinghouse, mosque, shrine, synagogue, or temple.",IANA Location Type Registry
TRUE,PRISON,Prison,"Correctional institution where persons are confined while on trial or for punishment, such as a prison, penitentiary, jail, brig.",IANA Location Type Registry
TRUE,PUBLIC,Public,"Public area such as a shopping mall, street, park, public building, train station, airport or in public conveyance such as a bus, train, plane or ship. This general description encompasses the more precise descriptors 'street', 'public-transport', 'aircraft', 'bus', 'bus-station', 'train', 'train-station', 'airport', 'shopping-area', 'outdoors', and 'watercraft'.",IANA Location Type Registry
TRUE,PUBLIC_TRANSPORT,Public-transport,"Any form of public transport, including aircraft, bus, train or ship.",IANA Location Type Registry
TRUE,RESIDENCE,Residence,"A private or residential setting, not necessarily the personal residence of the entity, e.g., including a friend's home.",IANA Location Type Registry
TRUE,RESTAURANT,Restaurant,"Restaurant, coffee shop or other public dining establishment.",IANA Location Type Registry
TRUE,SCHOOL,School,"School or university property, but not necessarily a classroom or library.",IANA Location Type Registry
TRUE,SHOPPING_AREA,Shopping-area,"Shopping mall or shopping area. This area is a large, often enclosed shopping complex containing various stores, businesses, and restaurants usually accessible by common passageways.",IANA Location Type Registry
TRUE,STADIUM,Stadium,"Large, usually open structure for sports events, including a racetrack.",IANA Location Type Registry
TRUE,STORE,Store,"Place where merchandise is offered for sale, such as a shop.",IANA Location Type Registry
TRUE,STREET,Street,"A public thoroughfare, such as a avenue, street, alley, lane, road, including any sidewalks.",IANA Location Type Registry
TRUE,THEATER,theater,"Theater, lecture hall, auditorium, class room, movie theater or similar facility designed for presentations, talks, plays, music performances and other events involving an audience.",IANA Location Type Registry
TRUE,TRAIN,Train,"Train, monorail, maglev, cable car or similar conveyance.",IANA Location Type Registry
TRUE,TRAIN_STATION,Train-station,"Terminal where trains load or unload passengers or goods; railway station, railroad station, railroad terminal, train depot.",IANA Location Type Registry
TRUE,TRUCK,Truck,"An automotive vehicle suitable for hauling, used primarily to carry goods rather than people.",IANA Location Type Registry
TRUE,UNDERWAY,Underway,"In a land, water, or air craft which is underway (in motion).",IANA Location Type Registry
TRUE,UNKNOWN,Unknown,The type of place is unknown.,IANA Location Type Registry
TRUE,WAREHOUSE,Warehouse,"Place in which goods or merchandise are stored, such as a storehouse or self-storage facility.",IANA Location Type Registry
TRUE,WATER,Water,"In, on or above bodies of water, such as an ocean, lake, river, canal or other waterway.",IANA Location Type Registry
TRUE,WATERCRAFT,Watercraft,On a vessel for travel on water such as a boat or ship.,IANA Location Type Registry
