name,active,description,definition,source
RESPONDING,TRUE,Responding,,
INITIAL_ATTACK,TRUE,Initial Attack (First 10 Minutes),,
CONITNUING_OPERATIONS,TRUE,Continuing Operations (11 to 60 minutes),,
EXTENDED_OPERATIONS,TRUE,Extended Operations (Over 60 minutes),,
AFTER_CONCLUSIONS_OF_INCIDENT,TRUE,After Conclusions Of Incident,,
UNKNOWN,TRUE,Unknown,,
