value,active,description,definition,source
VENTILATION,TRUE,Ventilation,,
HYDRAULIC_TOOL_USE,TRUE,Hydraulic Tool Use,,
UNDERWATER_DIVE,TRUE,Underwater Dive,,
ROPE_RIGGING,TRUE,Rope Rigging,,
BREAK_BREACH_WALL,TRUE,Break / Breach Wall,,
BRACE_WALL_INFRASTRUCTURE,TRUE,Brace Wall / Infrastructure,,
TRENCH_SHORING,TRUE,Trench Shoring,,
SUPPLY_AIR,TRUE,Supply Air,,
