value,active,description,definition,source
COMMERCIAL_HOOD_SUPPRESSION,TRUE,Commercial Hood Suppression System,,
RESIDENTIAL_HOOD_MOUNTED,TRUE,Residential Hood Mounted Suppression Device,,
TEMPERATURE_LIMITING_STOVE,TRUE,Temperature Limiting Stove Burner,,
ELECTRIC_POWER_CUTOFF_DEVICE,TRUE,Electric Power Cutoff Device,,
OTHER,TRUE,Other,,
