active,value,description,definition,source
TRUE,NEW_CONSTRUCTION_REMODEL,New Construction / Remodel,,
TRUE,ABANDONED,Abandoned,,
TRUE,FOR_SALE_LEASE,For Sale / Lease,,
TRUE,FORECLOSURE,Foreclosure,,
TRUE,DAMAGE_DECAY,State of Damage / Decay,,
TRUE,SEASONAL_OCCASIONALLY_OCCUPIED,Seasonal / Occasionally Occupied,,
TRUE,UNKNOWN,Unknown,,
