active,value,description,definition,source
TRUE,TURNOUT_COAT,Turnout Coat,,
TRUE,BUNKER_PANTS,Bunker Pants,,
TRUE,PROTECTIVE_HOOD,Protective Hood,,
TRUE,GLOVES,Gloves,,
TRUE,FACE_SHIELD_GOGGLES,Face Shield / Goggles,,
TRUE,HELMET,Helmet,,
TRUE,SCBA,SCBA,,
TRUE,PASS_DEVICE,Pass Device,,
TRUE,RUBBER_KNEE_BOOOTS,Rubber Knee Boots,,
TRUE,3_4_BOOTS,3/4 Boots,,
TRUE,BRUSH_GEAR,Brush Gear,,
TRUE,REFLECTIVE_VEST,Reflective Vest,,
TRUE,OTHER_SPECIAL_EQUIPMENT,Other Special Equipment,,
