value,active,description,NWCG,definition,source
NATURAL,TRUE,Natural,Natural,,
EQUIPMENT_VEHICLE_USE,TRUE,Equipment and Vehicle Use,Equipment and vehicle use,,
SMOKING_MATERIALS_ILLICIT_DRUGS,TRUE,Smoking Materials / Illicit Drugs,Smoking ,,
RECREATION_CEREMONY,TRUE,Recreation and Ceremony (includes campfire),Recreation and ceremony (includes campfire),,
DEBRIS_OPEN_BURNING,TRUE,Debris / Open Burning,Debris and open burning,,
RAILROAD_OPS_MAINTENANCE,TRUE,Railroad Operations / Maintenance,Railroad Operations and Maintenance,,
FIREARMS_EXPLOSIVES,TRUE,Firearms / Explosives Use,Firearms and explosive use,,
FIREWORKS,TRUE,Fireworks,Fireworks,,
POWER_GEN_TRANS_DIST,TRUE,Power Generation / Transmission / Distribution,Power generation/transmission/distribution,,
STRUCTURE,TRUE,Structure,Structure,,
INCENDIARY,TRUE,Incendiary,Arson,,
BATTERY_POWER_STORAGE,TRUE,Battery / Power Storage,,,
SPREAD_FROM_CONTROLLED_BURN,TRUE,Spread From Controlled Burn,,,
UNABLE_TO_BE_DETERMINED,TRUE,Unable to be Determined,Undetermined (Human or Natural),,
