value,active,description,definition,source
AMERICAN_INDIAN_ALASKA_NATIVE,TRUE,American Indian or Alaska Native,,
ASIAN,TRUE,Asian,,
BLACK_AFRICAN_AMERICAN,TRUE,Black or African American,,
HISPANIC_LATINO,TRUE,Hispanic or Latino,,
NATIVE_HAWAIIAN_PACIFIC_ISLANDER,TRUE,Native Hawaiian or Pacific Islander,,
WHITE,TRUE,White,,
