value,active,description,definition,source
LONG_LIFE_BATTERY_POWERED,TRUE,Long Life Battery Powered,,
REPLACEABLE_BATTERY_POWERED,TRUE,Replaceable Battery Powered,,
HARDWIRED,TRUE,Hardwired,,
INTERCONNECTED,TRUE,Interconnected,,
HARD_OF_HEARING_WITH_STROBE,TRUE,Hard of Hearing with Strobe,,
BED_SHAKER,TRUE,Bed Shaker,,
COMBINATION,TRUE,Combination (Smoke / CO),,
UNKNOWN,TRUE,Unknown,,
