value,active,description,definition,source
ABBEY,TRUE,Abbey,,NENA-STA-004
ACCESS,TRUE,Access,,NENA-STA-004
ACCESS ROAD,TRUE,Access Road,,NENA-STA-004
ACRES,TRUE,Acres,,NENA-STA-004
AIRPORT,TRUE,Airport,,NENA-STA-004
ALCOVE,TRUE,Alcove,,NENA-STA-004
ALLE,TRUE,Alle,,NENA-STA-004
ALLEY,TRUE,Alley,,NENA-STA-004
ANNEX,TRUE,Annex,,NENA-STA-004
APPROACH,TRUE,Approach,,NENA-STA-004
ARC,TRUE,Arc,,NENA-STA-004
ARCADE,TRUE,Arcade,,NENA-STA-004
ARCH,TRUE,Arch,,NENA-STA-004
AVENIDA,TRUE,Avenida,,NENA-STA-004
AVENUE,TRUE,Avenue,,NENA-STA-004
AVENUE CIRCLE,TRUE,Avenue Circle,,NENA-STA-004
AVENUE COURT,TRUE,Avenue Court,,NENA-STA-004
AVENUE LOOP,TRUE,Avenue Loop,,NENA-STA-004
AVENUE PATH,TRUE,Avenue Path,,NENA-STA-004
AVENUE PLACE,TRUE,Avenue Place,,NENA-STA-004
AVENUE WAY,TRUE,Avenue Way,,NENA-STA-004
BANK,TRUE,Bank,,NENA-STA-004
BAY,TRUE,Bay,,NENA-STA-004
BAYOU,TRUE,Bayou,,NENA-STA-004
BAYWAY,TRUE,Bayway,,NENA-STA-004
BEACH,TRUE,Beach,,NENA-STA-004
BEND,TRUE,Bend,,NENA-STA-004
BLUFF,TRUE,Bluff,,NENA-STA-004
BLUFFS,TRUE,Bluffs,,NENA-STA-004
BOTTOM,TRUE,Bottom,,NENA-STA-004
BOARDWALK,TRUE,Boardwalk,,NENA-STA-004
BOULEVARD,TRUE,Boulevard,,NENA-STA-004
BRANCH,TRUE,Branch,,NENA-STA-004
BRIDGE,TRUE,Bridge,,NENA-STA-004
BROOK,TRUE,Brook,,NENA-STA-004
BROOKS,TRUE,Brooks,,NENA-STA-004
BUREAU OF INDIAN AFFAIRS ROUTE,TRUE,Bureau of Indian Affairs Route,,NENA-STA-004
BURG,TRUE,Burg,,NENA-STA-004
BURGS,TRUE,Burgs,,NENA-STA-004
