value,active,description,definition,source
BYPASS,TRUE,Bypass,,NENA-STA-004
CALLE,TRUE,Calle,,NENA-STA-004
CALLEJON,TRUE,Callejon,,NENA-STA-004
CAMINO,TRUE,Camino,,NENA-STA-004
CAMP,TRUE,Camp,,NENA-STA-004
CANYON,TRUE,Canyon,,NENA-STA-004
CAPE,TRUE,Cape,,NENA-STA-004
CARTWAY,TRUE,Cartway,,NENA-STA-004
CAUSEWAY,TRUE,Causeway,,NENA-STA-004
CENTER,TRUE,Center,,NENA-STA-004
CENTRE,TRUE,Centre,,NENA-STA-004
CENTERS,TRUE,Centers,,NENA-STA-004
CHANNEL,TRUE,Channel,,NENA-STA-004
CHASE,TRUE,Chase,,NENA-STA-004
CHEMIN,TRUE,Chemin,,NENA-STA-004
CIRCLE,TRUE,Circle,,NENA-STA-004
CIRCLES,TRUE,Circles,,NENA-STA-004
CIRCUS,TRUE,Circus,,NENA-STA-004
CLIFF,TRUE,Cliff,,NENA-STA-004
CLIFFS,TRUE,Cliffs,,NENA-STA-004
CLOSE,TRUE,Close,,NENA-STA-004
CLUB,TRUE,Club,,NENA-STA-004
CLUSTER,TRUE,Cluster,,NENA-STA-004
COAST HIGHWAY,TRUE,Coast Highway,,NENA-STA-004
COMMON,TRUE,Common,,NENA-STA-004
COMMONS,TRUE,Commons,,NENA-STA-004
CONCESSION ROAD,TRUE,Concession Road,,NENA-STA-004
CONCOURSE,TRUE,Concourse,,NENA-STA-004
CONNECT,TRUE,Connect,,NENA-STA-004
CONNECTOR,TRUE,Connector,,NENA-STA-004
CORNER,TRUE,Corner,,NENA-STA-004
CORNERS,TRUE,Corners,,NENA-STA-004
CORRIDOR,TRUE,Corridor,,NENA-STA-004
CORSO,TRUE,Corso,,NENA-STA-004
CORTE,TRUE,Corte,,NENA-STA-004
COUNTY FOREST ROAD,TRUE,County Forest Road,,NENA-STA-004
COUNTY HIGHWAY,TRUE,County Highway,,NENA-STA-004
COUNTY ROAD,TRUE,County Road,,NENA-STA-004
COUNTY ROUTE,TRUE,County Route,,NENA-STA-004
COUNTY STATE AID HIGHWAY,TRUE,County State Aid Highway,,NENA-STA-004
COURS,TRUE,Cours,,NENA-STA-004
COURSE,TRUE,Course,,NENA-STA-004
COURT,TRUE,Court,,NENA-STA-004
COURTS,TRUE,Courts,,NENA-STA-004
COVE,TRUE,Cove,,NENA-STA-004
COVES,TRUE,Coves,,NENA-STA-004
CREEK,TRUE,Creek,,NENA-STA-004
CRESCENT,TRUE,Crescent,,NENA-STA-004
CREST,TRUE,Crest,,NENA-STA-004
CROSS,TRUE,Cross,,NENA-STA-004
CROSSING,TRUE,Crossing,,NENA-STA-004
CROSSINGS,TRUE,Crossings,,NENA-STA-004
CROSSOVER,TRUE,Crossover,,NENA-STA-004
CROSSROAD,TRUE,Crossroad,,NENA-STA-004
CROSSROADS,TRUE,Crossroads,,NENA-STA-004
CROSSWAY,TRUE,Crossway,,NENA-STA-004
CURVE,TRUE,Curve,,NENA-STA-004
CUSTER COUNTY ROAD,TRUE,Custer County Road,,NENA-STA-004
CUTOFF,TRUE,Cutoff,,NENA-STA-004
CUTTING,TRUE,Cutting,,NENA-STA-004
DALE,TRUE,Dale,,NENA-STA-004
DAM,TRUE,Dam,,NENA-STA-004
DAWSON COUNTY ROAD,TRUE,Dawson County Road,,NENA-STA-004
DELL,TRUE,Dell,,NENA-STA-004
DIVIDE,TRUE,Divide,,NENA-STA-004
DOCK,TRUE,Dock,,NENA-STA-004
DOWN,TRUE,Down,,NENA-STA-004
DOWNS,TRUE,Downs,,NENA-STA-004
DRAW,TRUE,Draw,,NENA-STA-004
DRIFT,TRUE,Drift,,NENA-STA-004
DRIVE,TRUE,Drive,,NENA-STA-004
DRIVES,TRUE,Drives,,NENA-STA-004
DRIVEWAY,TRUE,Driveway,,NENA-STA-004
DUGWAY,TRUE,Dugway,,NENA-STA-004
ECHO,TRUE,Echo,,NENA-STA-004
EDGE,TRUE,Edge,,NENA-STA-004
END,TRUE,End,,NENA-STA-004
ENTRANCE,TRUE,Entrance,,NENA-STA-004
ENTRY,TRUE,Entry,,NENA-STA-004
ESPLANADE,TRUE,Esplanade,,NENA-STA-004
ESTATE,TRUE,Estate,,NENA-STA-004
ESTATES,TRUE,Estates,,NENA-STA-004
EXCHANGE,TRUE,Exchange,,NENA-STA-004
EXIT,TRUE,Exit,,NENA-STA-004
EXPRESSWAY,TRUE,Expressway,,NENA-STA-004
EXTENSION,TRUE,Extension,,NENA-STA-004
EXTENSIONS,TRUE,Extensions,,NENA-STA-004
FALL,TRUE,Fall,,NENA-STA-004
FALLS,TRUE,Falls,,NENA-STA-004
FARE,TRUE,Fare,,NENA-STA-004
FARM,TRUE,Farm,,NENA-STA-004
FARM TO MARKET,TRUE,Farm to Market,,NENA-STA-004
FEDERAL-AID SECONDARY HIGHWAY,TRUE,Federal-Aid Secondary Highway,,NENA-STA-004
FERRY,TRUE,Ferry,,NENA-STA-004
FIELD,TRUE,Field,,NENA-STA-004
FIELDS,TRUE,Fields,,NENA-STA-004
FLAT,TRUE,Flat,,NENA-STA-004
FLATS,TRUE,Flats,,NENA-STA-004
FLOWAGE,TRUE,Flowage,,NENA-STA-004
FLYWAY,TRUE,Flyway,,NENA-STA-004
FORD,TRUE,Ford,,NENA-STA-004
FORDS,TRUE,Fords,,NENA-STA-004
FOREST,TRUE,Forest,,NENA-STA-004
FOREST ROAD,TRUE,Forest Road,,NENA-STA-004
FOREST HIGHWAY,TRUE,Forest Highway,,NENA-STA-004
FORGE,TRUE,Forge,,NENA-STA-004
FORGES,TRUE,Forges,,NENA-STA-004
FORK,TRUE,Fork,,NENA-STA-004
FORKS,TRUE,Forks,,NENA-STA-004
FORT,TRUE,Fort,,NENA-STA-004
FREEWAY,TRUE,Freeway,,NENA-STA-004
FRONT,TRUE,Front,,NENA-STA-004
FRONTAGE ROAD,TRUE,Frontage Road,,NENA-STA-004
GABLES,TRUE,Gables,,NENA-STA-004
GARDEN,TRUE,Garden,,NENA-STA-004
GARDENS,TRUE,Gardens,,NENA-STA-004
GARTH,TRUE,Garth,,NENA-STA-004
GATE,TRUE,Gate,,NENA-STA-004
GATES,TRUE,Gates,,NENA-STA-004
GATEWAY,TRUE,Gateway,,NENA-STA-004
GLADE,TRUE,Glade,,NENA-STA-004
GLEN,TRUE,Glen,,NENA-STA-004
GLENS,TRUE,Glens,,NENA-STA-004
GORGE,TRUE,Gorge,,NENA-STA-004
GRADE,TRUE,Grade,,NENA-STA-004
GREEN,TRUE,Green,,NENA-STA-004
GREENS,TRUE,Greens,,NENA-STA-004
GREENWAY,TRUE,Greenway,,NENA-STA-004
GROVE,TRUE,Grove,,NENA-STA-004
GROVES,TRUE,Groves,,NENA-STA-004
HARBOR,TRUE,Harbor,,NENA-STA-004
HARBORS,TRUE,Harbors,,NENA-STA-004
HARBOUR,TRUE,Harbour,,NENA-STA-004
HAUL ROAD,TRUE,Haul Road,,NENA-STA-004
HAVEN,TRUE,Haven,,NENA-STA-004
HEATH,TRUE,Heath,,NENA-STA-004
HEIGHTS,TRUE,Heights,,NENA-STA-004
HIDEAWAY,TRUE,Hideaway,,NENA-STA-004
HIGHWAY,TRUE,Highway,,NENA-STA-004
HILL,TRUE,Hill,,NENA-STA-004
HILLS,TRUE,Hills,,NENA-STA-004
HOLLOW,TRUE,Hollow,,NENA-STA-004
HORN,TRUE,Horn,,NENA-STA-004
HORSESHOE,TRUE,Horseshoe,,NENA-STA-004
INDIAN SERVICE ROAD,TRUE,Indian Service Road,,NENA-STA-004
INLET,TRUE,Inlet,,NENA-STA-004
INTERSTATE,TRUE,Interstate,,NENA-STA-004
INTERVAL,TRUE,Interval,,NENA-STA-004
ISLAND,TRUE,Island,,NENA-STA-004
ISLANDS,TRUE,Islands,,NENA-STA-004
ISLE,TRUE,Isle,,NENA-STA-004
ISLES,TRUE,Isles,,NENA-STA-004
J-TURN,TRUE,J-Turn,,NENA-STA-004
JUNCTION,TRUE,Junction,,NENA-STA-004
JUNCTIONS,TRUE,Junctions,,NENA-STA-004
KEEP,TRUE,Keep,,NENA-STA-004
KEY,TRUE,Key,,NENA-STA-004
KEYS,TRUE,Keys,,NENA-STA-004
KNOLL,TRUE,Knoll,,NENA-STA-004
KNOLLS,TRUE,Knolls,,NENA-STA-004
LAIR,TRUE,Lair,,NENA-STA-004
LAKE,TRUE,Lake,,NENA-STA-004
LAKES,TRUE,Lakes,,NENA-STA-004
LAND,TRUE,Land,,NENA-STA-004
LANDING,TRUE,Landing,,NENA-STA-004
LANE,TRUE,Lane,,NENA-STA-004
LANE CIRCLE,TRUE,Lane Circle,,NENA-STA-004
LANE COURT,TRUE,Lane Court,,NENA-STA-004
LANE ROAD,TRUE,Lane Road,,NENA-STA-004
LATERAL,TRUE,Lateral,,NENA-STA-004
LEDGE,TRUE,Ledge,,NENA-STA-004
LIGHT,TRUE,Light,,NENA-STA-004
LIGHTS,TRUE,Lights,,NENA-STA-004
LINE,TRUE,Line,,NENA-STA-004
LOAF,TRUE,Loaf,,NENA-STA-004
LOCK,TRUE,Lock,,NENA-STA-004
LOCKS,TRUE,Locks,,NENA-STA-004
LODGE,TRUE,Lodge,,NENA-STA-004
LOOKOUT,TRUE,Lookout,,NENA-STA-004
LOOP,TRUE,Loop,,NENA-STA-004
LOOP ROAD,TRUE,Loop Road,,NENA-STA-004
LUGAR,TRUE,Lugar,,NENA-STA-004
MALL,TRUE,Mall,,NENA-STA-004
MANOR,TRUE,Manor,,NENA-STA-004
MANORS,TRUE,Manors,,NENA-STA-004
MARKET,TRUE,Market,,NENA-STA-004
MEADOW,TRUE,Meadow,,NENA-STA-004
MEADOWS,TRUE,Meadows,,NENA-STA-004
MEWS,TRUE,Mews,,NENA-STA-004
MILL,TRUE,Mill,,NENA-STA-004
MILLS,TRUE,Mills,,NENA-STA-004
MISSION,TRUE,Mission,,NENA-STA-004
MONTANA HIGHWAY,TRUE,Montana Highway,,NENA-STA-004
MOTORWAY,TRUE,Motorway,,NENA-STA-004
MOUNT,TRUE,Mount,,NENA-STA-004
MOUNTAIN,TRUE,Mountain,,NENA-STA-004
MOUNTAINS,TRUE,Mountains,,NENA-STA-004
NARROWS,TRUE,Narrows,,NENA-STA-004
NATIONAL FOREST DEVELOPMENT ROAD,TRUE,National Forest Development Road,,NENA-STA-004
NECK,TRUE,Neck,,NENA-STA-004
NOOK,TRUE,Nook,,NENA-STA-004
NORTH CAROLINA HIGHWAY,TRUE,North Carolina Highway,,NENA-STA-004
OAKS,TRUE,Oaks,,NENA-STA-004
OLD COUNTY ROAD,TRUE,Old County Road,,NENA-STA-004
ORCHARD,TRUE,Orchard,,NENA-STA-004
OVAL,TRUE,Oval,,NENA-STA-004
OVERLOOK,TRUE,Overlook,,NENA-STA-004
OVERPASS,TRUE,Overpass,,NENA-STA-004
OVI,TRUE,Ovi,,NENA-STA-004
PARK,TRUE,Park,,NENA-STA-004
PARKE,TRUE,Parke,,NENA-STA-004
PARKS,TRUE,Parks,,NENA-STA-004
PARKWAY,TRUE,Parkway,,NENA-STA-004
PARKWAYS,TRUE,Parkways,,NENA-STA-004
PASEO,TRUE,Paseo,,NENA-STA-004
PASS,TRUE,Pass,,NENA-STA-004
PASSAGE,TRUE,Passage,,NENA-STA-004
PATH,TRUE,Path,,NENA-STA-004
PATHWAY,TRUE,Pathway,,NENA-STA-004
PIKE,TRUE,Pike,,NENA-STA-004
PINE,TRUE,Pine,,NENA-STA-004
PINES,TRUE,Pines,,NENA-STA-004
PIAZZA,TRUE,Piazza,,NENA-STA-004
PLACE,TRUE,Place,,NENA-STA-004
PLACITA,TRUE,Placita,,NENA-STA-004
PLAIN,TRUE,Plain,,NENA-STA-004
PLAINS,TRUE,Plains,,NENA-STA-004
PLATZ,TRUE,Platz,,NENA-STA-004
PLAZA,TRUE,Plaza,,NENA-STA-004
POINT,TRUE,Point,,NENA-STA-004
POINTE,TRUE,Pointe,,NENA-STA-004
POINTS,TRUE,Points,,NENA-STA-004
PORT,TRUE,Port,,NENA-STA-004
PORTS,TRUE,Ports,,NENA-STA-004
PRAIRIE,TRUE,Prairie,,NENA-STA-004
PRIVATE ROAD,TRUE,Private Road,,NENA-STA-004
PROMENADE,TRUE,Promenade,,NENA-STA-004
PUBLIC ACCESS,TRUE,Public Access,,NENA-STA-004
QUARTER,TRUE,Quarter,,NENA-STA-004
QUAY,TRUE,Quay,,NENA-STA-004
RAMP,TRUE,Ramp,,NENA-STA-004
RADIAL,TRUE,Radial,,NENA-STA-004
RANCH,TRUE,Ranch,,NENA-STA-004
RANCHO,TRUE,Rancho,,NENA-STA-004
RAPID,TRUE,Rapid,,NENA-STA-004
RAPIDS,TRUE,Rapids,,NENA-STA-004
REACH,TRUE,Reach,,NENA-STA-004
RECREATIONAL ROAD,TRUE,Recreational Road,,NENA-STA-004
REST,TRUE,Rest,,NENA-STA-004
RETREAT,TRUE,Retreat,,NENA-STA-004
RIDGE,TRUE,Ridge,,NENA-STA-004
RIDGES,TRUE,Ridges,,NENA-STA-004
RISE,TRUE,Rise,,NENA-STA-004
RIVER,TRUE,River,,NENA-STA-004
RIVER ROAD,TRUE,River Road,,NENA-STA-004
ROAD,TRUE,Road,,NENA-STA-004
ROADS,TRUE,Roads,,NENA-STA-004
ROUND,TRUE,Round,,NENA-STA-004
ROUTE,TRUE,Route,,NENA-STA-004
ROW,TRUE,Row,,NENA-STA-004
RUE,TRUE,Rue,,NENA-STA-004
RUN,TRUE,Run,,NENA-STA-004
RUNNE,TRUE,Runne,,NENA-STA-004
RUNWAY,TRUE,Runway,,NENA-STA-004
SHOAL,TRUE,Shoal,,NENA-STA-004
SHOALS,TRUE,Shoals,,NENA-STA-004
SHORE,TRUE,Shore,,NENA-STA-004
SHORES,TRUE,Shores,,NENA-STA-004
SIDEROAD,TRUE,Sideroad,,NENA-STA-004
SKIES,TRUE,Skies,,NENA-STA-004
SKYWAY,TRUE,Skyway,,NENA-STA-004
SLIP,TRUE,Slip,,NENA-STA-004
SPRING,TRUE,Spring,,NENA-STA-004
SPRINGS,TRUE,Springs,,NENA-STA-004
SPUR,TRUE,Spur,,NENA-STA-004
SPURS,TRUE,Spurs,,NENA-STA-004
SQUARE,TRUE,Square,,NENA-STA-004
SQUARES,TRUE,Squares,,NENA-STA-004
STATE HIGHWAY,TRUE,State Highway,,NENA-STA-004
STATE PARK ROAD,TRUE,State Park Road,,NENA-STA-004
STATE PARKWAY,TRUE,State Parkway,,NENA-STA-004
STATE ROAD,TRUE,State Road,,NENA-STA-004
STATE ROUTE,TRUE,State Route,,NENA-STA-004
STATE SECONDARY,TRUE,State Secondary,,NENA-STA-004
STATE SPUR,TRUE,State Spur,,NENA-STA-004
STATION,TRUE,Station,,NENA-STA-004
STRAND,TRUE,Strand,,NENA-STA-004
STRASSE,TRUE,Strasse,,NENA-STA-004
STRAVENUE,TRUE,Stravenue,,NENA-STA-004
STREAM,TRUE,Stream,,NENA-STA-004
STREET,TRUE,Street,,NENA-STA-004
STREETS,TRUE,Streets,,NENA-STA-004
STREET COURT,TRUE,Street Court,,NENA-STA-004
STREET LOOP,TRUE,Street Loop,,NENA-STA-004
STREET PATH,TRUE,Street Path,,NENA-STA-004
STREET PLACE,TRUE,Street Place,,NENA-STA-004
STREET WAY,TRUE,Street Way,,NENA-STA-004
STREET CIRCLE,TRUE,Street Circle,,NENA-STA-004
STRIP,TRUE,Strip,,NENA-STA-004
SUMMIT,TRUE,Summit,,NENA-STA-004
TAXIWAY,TRUE,Taxiway,,NENA-STA-004
TERMINAL,TRUE,Terminal,,NENA-STA-004
TERN,TRUE,Tern,,NENA-STA-004
TERRACE,TRUE,Terrace,,NENA-STA-004
THROUGHWAY,TRUE,Throughway,,NENA-STA-004
THRUWAY,TRUE,Thruway,,NENA-STA-004
TIMBER ROAD,TRUE,Timber Road,,NENA-STA-004
TOWNLINE,TRUE,Townline,,NENA-STA-004
TOWN ROAD,TRUE,Town Road,,NENA-STA-004
TOWNSHIP ROAD,TRUE,Township Road,,NENA-STA-004
TRACE,TRUE,Trace,,NENA-STA-004
TRACK,TRUE,Track,,NENA-STA-004
TRAFFICWAY,TRUE,Trafficway,,NENA-STA-004
TRAIL,TRUE,Trail,,NENA-STA-004
TRAILER,TRUE,Trailer,,NENA-STA-004
TRIANGLE,TRUE,Triangle,,NENA-STA-004
TRUCK TRAIL,TRUE,Truck Trail,,NENA-STA-004
TUNNEL,TRUE,Tunnel,,NENA-STA-004
TURN,TRUE,Turn,,NENA-STA-004
TURNPIKE,TRUE,Turnpike,,NENA-STA-004
UNITED STATES FOREST SERVICE ROAD,TRUE,United States Forest Service Road,,NENA-STA-004
UNITED STATES HIGHWAY,TRUE,United States Highway,,NENA-STA-004
UNDERPASS,TRUE,Underpass,,NENA-STA-004
UNION,TRUE,Union,,NENA-STA-004
UNIONS,TRUE,Unions,,NENA-STA-004
UUNYE,TRUE,Uunye,,NENA-STA-004
VALLEY,TRUE,Valley,,NENA-STA-004
VALLEYS,TRUE,Valleys,,NENA-STA-004
VIA,TRUE,Via,,NENA-STA-004
VIADUCT,TRUE,Viaduct,,NENA-STA-004
VIEW,TRUE,View,,NENA-STA-004
VIEWS,TRUE,Views,,NENA-STA-004
VILLA,TRUE,Villa,,NENA-STA-004
VILLAGE,TRUE,Village,,NENA-STA-004
VILLAGES,TRUE,Villages,,NENA-STA-004
VILLE,TRUE,Ville,,NENA-STA-004
VISTA,TRUE,Vista,,NENA-STA-004
VOG,TRUE,Vog,,NENA-STA-004
WADDY,TRUE,Waddy,,NENA-STA-004
WALK,TRUE,Walk,,NENA-STA-004
WALKS,TRUE,Walks,,NENA-STA-004
WALL,TRUE,Wall,,NENA-STA-004
WAY,TRUE,Way,,NENA-STA-004
WAYS,TRUE,Ways,,NENA-STA-004
WEEG,TRUE,Weeg,,NENA-STA-004
WELL,TRUE,Well,,NENA-STA-004
WELLS,TRUE,Wells,,NENA-STA-004
WOODS,TRUE,Woods,,NENA-STA-004
WYE,TRUE,Wye,,NENA-STA-004
WYND,TRUE,Wynd,,NENA-STA-004
