value,active,description,definition,source
CAUGHT_TRAPPED_BY_FIRE_EXPLOSION,TRUE,Caught / Trapped by Fire / Explosion,,
FALL_JUMP,TRUE,Fall / Jump,,
STRESS_OVEREXERTION,TRUE,Stress / Overexertion,,
COLLAPSE,TRUE,Collapse,,
CAUGHT_TRAPPED_BY_OBJECT,TRUE,Caught / Trapped by Object,,
STRUCK_CONTACT_WITH_OBJECT,TRUE,Struck / Contact with Object,,
EXPOSURE,TRUE,Exposure,,
VEHICLE_COLLISION,TRUE,Vehicle Collision,,
OTHER,TRUE,Other,,
