value,active,description,definition,source,xor
PRESENT,TRUE,Present,,,PRESENT
NOT_PRESENT,TRUE,Not Present,,,NOTPRESENT
NOT_APPLICABLE,TRUE,Not Applicable,,,NOTPRESENT
