value,active,description,definition,source
OPERATING_EQUIPMENT,TRUE,Operating Equipment,,
ELECTRICAL,TRUE,Electrical,,
BATTERY_POWER_STORAGE,TRUE,Battery / Power Storage,,
HEAT_FROM_ANOTHER_OBJECT,TRUE,Heat From Another Object,,
EXPLOSIVES_FIREWORKS,TRUE,Explosives / Fireworks,,
SMOKING_MATERIALS_ILLICIT_DRUGS,TRUE,Smoking Materials / Illicit Drugs,,
OPEN_FLAME,TRUE,Open Flame,,
COOKING,TRUE,Cooking,,
CHEMICAL,TRUE,Chemical,,
ACT_OF_NATURE,TRUE,Act Of Nature,,
INCENDIARY,TRUE,Incendiary,,
OTHER_HEAT_SOURCE,TRUE,Other Heat Source,,
UNABLE_TO_BE_DETERMINED,TRUE,Unable to be Determined,,
