value,active,description,definition,source,xor
EXTERNAL_EXPOSURE,TRUE,"External Exposure (building to building, building to vehicle, etc.)",,,EXTERNAL
INTERNAL_EXPOSURE,TRUE,"Internal Exposure (Occupancy A to Occupancy B, within the same structure)",,,INTERNAL
