,active,value,description,definition,source
0,True,ON GRADE,On Grade,,
1,True,ELEVATED,Elevated,,
2,True,NONE PRESENT,None Present,,
3,True,BELOW_GRADE_SUNKEN,Below Grade / Sunken,,
