,active,value,description,definition,source
0,True,DIRECT FLAME IMPINGEMENT,Direct Flame Impingement,,
1,True,EMBERS,Embers,,
2,True,RADIANT HEAT,Radiant Heat,,
3,True,UNKNOWN,Unknown,,
4,True,OTHER,Other,,
