,active,value,description,definition,source
0,True,CONTINUOUS_HORIZONTAL,Continuous/Horizontal,Fuels are generally of the same arrangement type.,
1,True,LADDER_VERTICAL,Ladder/Vertical,Fuels are arranged one above the other.,
