,active,value,description,definition,source
0,True,Acura,,,
1,True,Alfa Romeo,,,
2,True,Aston Martin,,,
3,True,Audi,,,
4,True,BMW,,,
5,True,Bentley Motors,,,
6,True,Bollinger Motors,,,
7,True,Bugatti,,,
8,True,Buick,,,
9,True,Cadillac,,,
10,True,Canoo,,,
11,True,Chevrolet,,,
12,True,Chrysler,,,
13,True,DeLorean Motor Company,,,
14,True,Dodge,,,
15,True,Ferrari,,,
16,True,Fiat,,,
17,True,Fisker,,,
18,True,Ford,,,
19,True,GMC,,,
20,True,Genesis,,,
21,True,Honda,,,
22,True,Hummer,,,
23,True,Hyundai,,,
24,True,Ineos,,,
25,True,Infiniti,,,
26,True,Jaguar,,,
27,True,Jeep,,,
28,True,Karma,,,
29,True,Kia,,,
30,True,Lamborghini,,,
31,True,Land Rover,,,
32,True,Lexus,,,
33,True,Lincoln,,,
34,True,Lordstown Motors,,,
35,True,Lotus,,,
36,True,Lucid Motors,,,
37,True,Maserati,,,
38,True,Maybach,,,
39,True,Mazda,,,
40,True,McLaren,,,
41,True,Mercedes-AMG,,,
42,True,Mercedes-Benz,,,
43,True,Mercury,,,
44,True,Mini,,,
45,True,Mitsubishi,,,
46,True,Nissan,,,
47,True,Oldsmobile,,,
48,True,Polestar,,,
49,True,Pontiac,,,
50,True,Porsche,,,
51,True,Plymouth,,,
52,True,Ram,,,
53,True,Rivian,,,
54,True,Rolls-Royce,,,
55,True,Saab,,,
56,True,Saturn,,,
57,True,Scion,,,
58,True,Smart,,,
59,True,Subaru,,,
60,True,Suzuki,,,
61,True,Tesla,,,
62,True,Toyota,,,
63,True,Volkswagen,,,
64,True,VinFast,,,
65,True,Volvo,,,
