,active,value,description,definition,source
0,True,VALLEY_BOTTOM,Valley Bottom,,
1,True,LOWER_SLOPE,Lower Slope,,
2,True,MID_SLOPE,Mid Slope,,
3,True,UPPER_SLOPE,Upper Slope,,
4,True,RIDGE_TOP,Ridge Top,,
5,True,UNKNOWN,Unknown,,
