,active,value_1,value_2,value_3,value_4,description_1,description_2,description_3,comments
0,TRUE,NATURAL: LIGHTNING ,NATURAL,LIGHTNING,,Natural,Lightning,,
1,TRUE,NATURAL: VOLCANO ,NATURAL,VOLCANO,,Natural,Volcano,,
2,TRUE,NATURAL: SPONTANEOUS_COMBUSTION ,NATURAL,SPONTANEOUS_COMBUSTION,,Natural,Spontaneous Combustion,,
3,TRUE,NATURAL: OTHER ,NATURAL,OTHER,,Natural,Other,,
4,TRUE,NATURAL: UNKNOWN ,NATURAL,UNKNOWN,,Natural,Unknown,,
5,TRUE,EQUIPMENT_APPLIANCE: HOT_WORK ,EQUIPMENT_APPLIANCE,HOT_WORK,,Equipment or Appliance,"Hot Work (Welder, Grinder, Torch, Cutter)",,Prompts consumer_product
6,TRUE,EQUIPMENT_APPLIANCE: OTHER_SMALL_ENGINE_EQUIPMENT ,EQUIPMENT_APPLIANCE,OTHER_SMALL_ENGINE_EQUIPMENT,,Equipment or Appliance,Other Small Engine Equipment,,Prompts consumer_product
7,TRUE,EQUIPMENT_APPLIANCE: OTHER ,EQUIPMENT_APPLIANCE,OTHER,,Equipment or Appliance,Other,,Prompts consumer_product
8,TRUE,EQUIPMENT_APPLIANCE: UNKNOWN ,EQUIPMENT_APPLIANCE,UNKNOWN,,Equipment or Appliance,Unknown,,Prompts consumer_product
9,TRUE,EQUIPMENT_APPLIANCE: HEATING_COOLING_EQUIPMENT ,EQUIPMENT_APPLIANCE,HEATING_COOLING_EQUIPMENT,,Equipment or Appliance,Heating or Cooling Equipment,,Prompts consumer_product
10,TRUE,EQUIPMENT_APPLIANCE: ELECTRICAL_EQUIPMENT ,EQUIPMENT_APPLIANCE,ELECTRICAL_EQUIPMENT,,Equipment or Appliance,Electrical Equipment,,Prompts consumer_product
11,TRUE,COOKING: OIL_GREASE ,COOKING,OIL_GREASE,,Cooking,Oil or grease,,
12,TRUE,COOKING: KITCHEN_APPLIANCE_OVEN ,COOKING,KITCHEN_APPLIANCE_OVEN,,Cooking,Kitchen Appliance or Oven,,
13,TRUE,COOKING: DRY_COOKING ,COOKING,DRY_COOKING,,Cooking,Dry Food and Materials,,
14,TRUE,CHEMICAL: CHEMICAL_LABORATORY ,CHEMICAL,CHEMICAL_LABORATORY,,Chemical,Chemical or Laboratory,,
15,TRUE,FIREARMS_EXPLOSIVES: BLACK_POWDER_MUZZLE_LOADING ,FIREARMS_EXPLOSIVES,BLACK_POWDER_MUZZLE_LOADING,,Firearms and Explosive Use,Black Powder / Muzzle Loading,,
16,TRUE,FIREARMS_EXPLOSIVES: BLASTING ,FIREARMS_EXPLOSIVES,BLASTING,,Firearms and Explosive Use,Blasting,,
17,TRUE,FIREARMS_EXPLOSIVES: EXPLODING_TARGET_SHOOTING ,FIREARMS_EXPLOSIVES,EXPLODING_TARGET_SHOOTING,,Firearms and Explosive Use,Exploding Target Shooting,,
18,TRUE,FIREARMS_EXPLOSIVES: DETONATING_CORD ,FIREARMS_EXPLOSIVES,DETONATING_CORD,,Firearms and Explosive Use,Detonating Cord,,
19,TRUE,FIREARMS_EXPLOSIVES: FLARES_FUSES ,FIREARMS_EXPLOSIVES,FLARES_FUSES,,Firearms and Explosive Use,Flares / Fuses,,
20,TRUE,FIREARMS_EXPLOSIVES: INERT_TARGET_SHOOTING ,FIREARMS_EXPLOSIVES,INERT_TARGET_SHOOTING,,Firearms and Explosive Use,Inert Target Shooting,,
21,TRUE,FIREARMS_EXPLOSIVES: MILITARY_ORDINANCE ,FIREARMS_EXPLOSIVES,MILITARY_ORDINANCE,,Firearms and Explosive Use,Military ordinance,,
22,TRUE,FIREARMS_EXPLOSIVES: NON_MILITARY_TRACER ,FIREARMS_EXPLOSIVES,NON_MILITARY_TRACER,,Firearms and Explosive Use,Non-Military Tracer,,
23,TRUE,FIREARMS_EXPLOSIVES: AMMONIUM_NITRATE_FUEL_OIL ,FIREARMS_EXPLOSIVES,AMMONIUM_NITRATE_FUEL_OIL,,Firearms and Explosive Use,Ammonium Nitrate Fuel Oil (ANFO),,
24,TRUE,FIREARMS_EXPLOSIVES: IMPROVISED_EXPLOSIVE_DEVICE ,FIREARMS_EXPLOSIVES,IMPROVISED_EXPLOSIVE_DEVICE,,Firearms and Explosive Use,Improvised Explosive Device,,
25,TRUE,FIREARMS_EXPLOSIVES: PIPE_BOMB ,FIREARMS_EXPLOSIVES,PIPE_BOMB,,Firearms and Explosive Use,Pipe Bomb,,
26,TRUE,FIREARMS_EXPLOSIVES: OTHER_EXPLOSIVES ,FIREARMS_EXPLOSIVES,OTHER_EXPLOSIVES,,Firearms and Explosive Use,Other Explosives,,
27,TRUE,FIREARMS_EXPLOSIVES: OTHER ,FIREARMS_EXPLOSIVES,OTHER,,Firearms and Explosive Use,Other,,
28,TRUE,FIREARMS_EXPLOSIVES: UNKNOWN ,FIREARMS_EXPLOSIVES,UNKNOWN,,Firearms and Explosive Use,Unknown,,
29,TRUE,FIREWORKS: EXPLOSIVES M_80,FIREWORKS,EXPLOSIVES,M_80,Fireworks,Explosives,M-80,
30,TRUE,FIREWORKS: EXPLOSIVES M_100,FIREWORKS,EXPLOSIVES,M_100,Fireworks,Explosives,M-100,
31,TRUE,FIREWORKS: EXPLOSIVES M_1000,FIREWORKS,EXPLOSIVES,M_1000,Fireworks,Explosives,M-1000,
32,TRUE,FIREWORKS: EXPLOSIVES 1_4_Stick,FIREWORKS,EXPLOSIVES,1_4_Stick,Fireworks,Explosives,1/4 Stick,
33,TRUE,FIREWORKS: EXPLOSIVES CHERRY_BOMB,FIREWORKS,EXPLOSIVES,CHERRY_BOMB,Fireworks,Explosives,Cherry Bomb,
34,TRUE,FIREWORKS: EXPLOSIVES SILVER_SALUTE,FIREWORKS,EXPLOSIVES,SILVER_SALUTE,Fireworks,Explosives,Silver Salute,
35,TRUE,FIREWORKS: EXPLOSIVES SPARKLER_BOMB,FIREWORKS,EXPLOSIVES,SPARKLER_BOMB,Fireworks,Explosives,Sparkler Bomb,
36,TRUE,FIREWORKS: EXPLOSIVES ALTERED_CONSUMER_FIREWORKS,FIREWORKS,EXPLOSIVES,ALTERED_CONSUMER_FIREWORKS,Fireworks,Explosives,Altered Consumer Firework,
37,TRUE,FIREWORKS: EXPLOSIVES HOMEMADE_EXPLOSIVE_DEVICE,FIREWORKS,EXPLOSIVES,HOMEMADE_EXPLOSIVE_DEVICE,Fireworks,Explosives,Homemade Explosive Device,
38,TRUE,FIREWORKS: PROFESSIONAL_DISPLAY OUTDOOR_AERIAL_SHELL,FIREWORKS,PROFESSIONAL_DISPLAY,OUTDOOR_AERIAL_SHELL,Fireworks,Professional Public Display,Outdoor Aerial Shells,
39,TRUE,FIREWORKS: PROFESSIONAL_DISPLAY OUTDOOR_LOW_LEVEL,FIREWORKS,PROFESSIONAL_DISPLAY,OUTDOOR_LOW_LEVEL,Fireworks,Professional Public Display,Outdoor Low-Level,
40,TRUE,FIREWORKS: PROFESSIONAL_DISPLAY OUTDOOR_GROUND_LEVEL,FIREWORKS,PROFESSIONAL_DISPLAY,OUTDOOR_GROUND_LEVEL,Fireworks,Professional Public Display,Outdoor Ground-Level,
41,TRUE,FIREWORKS: PROFESSIONAL_DISPLAY OUTDOOR_PROXIMATE,FIREWORKS,PROFESSIONAL_DISPLAY,OUTDOOR_PROXIMATE,Fireworks,Professional Public Display,Outdoor Proximate,
