,active,value_1,value_2,value_3,value_4,description_1,description_2,description_3,comments
42,TRUE,FIREWORKS: PROFESSIONAL_DISPLAY INDOOR_PROXIMATE,FIREWORKS,PROFESSIONAL_DISPLAY,INDOOR_PROXIMATE,Fireworks,Professional Public Display,Indoor Proximate,
43,TRUE,FIREWORKS: CONSUMER_AERIAL COMETS_MINES_SHELLS,FIREWORKS,CONSUMER_AERIAL,COMETS_MINES_SHELLS,Fireworks,Consumer Aerial,Comets / Mines / Shells,
44,TRUE,FIREWORKS: CONSUMER_AERIAL RELOADABLE_TUBE_AERIAL,FIREWORKS,CONSUMER_AERIAL,RELOADABLE_TUBE_AERIAL,Fireworks,Consumer Aerial,Reloadable Tube Aerial,
45,TRUE,FIREWORKS: CONSUMER_AERIAL ROMAN_CANDLES,FIREWORKS,CONSUMER_AERIAL,ROMAN_CANDLES,Fireworks,Consumer Aerial,Roman Candles,
46,TRUE,FIREWORKS: CONSUMER_AERIAL ROCKETS,FIREWORKS,CONSUMER_AERIAL,ROCKETS,Fireworks,Consumer Aerial,Rockets,
47,TRUE,FIREWORKS: CONSUMER_AERIAL MISSILES,FIREWORKS,CONSUMER_AERIAL,MISSILES,Fireworks,Consumer Aerial,Missiles,
48,TRUE,FIREWORKS: CONSUMER_AERIAL HELICOPTERS,FIREWORKS,CONSUMER_AERIAL,HELICOPTERS,Fireworks,Consumer Aerial,Helicopters,
49,TRUE,FIREWORKS: CONSUMER_AERIAL OTHER_SPECIALTY_ITEMS,FIREWORKS,CONSUMER_AERIAL,OTHER_SPECIALTY_ITEMS,Fireworks,Consumer Aerial,Other Specialty Items,
50,TRUE,FIREWORKS: CONSUMER_NON_AERIAL COMBINAITON_ITEMS,FIREWORKS,CONSUMER_NON_AERIAL,COMBINAITON_ITEMS,Fireworks,Consumer Non-Aerial,Combination Items,
51,TRUE,FIREWORKS: CONSUMER_NON_AERIAL FOUNTAINS,FIREWORKS,CONSUMER_NON_AERIAL,FOUNTAINS,Fireworks,Consumer Non-Aerial,Fountains,
52,TRUE,FIREWORKS: CONSUMER_NON_AERIAL GROUND_SPINNERS,FIREWORKS,CONSUMER_NON_AERIAL,GROUND_SPINNERS,Fireworks,Consumer Non-Aerial,Ground Spinners,
53,TRUE,FIREWORKS: CONSUMER_NON_AERIAL HANDHELD_SPARKLERS,FIREWORKS,CONSUMER_NON_AERIAL,HANDHELD_SPARKLERS,Fireworks,Consumer Non-Aerial,Handheld Sparklers,
54,TRUE,FIREWORKS: CONSUMER_NON_AERIAL WHEELS,FIREWORKS,CONSUMER_NON_AERIAL,WHEELS,Fireworks,Consumer Non-Aerial,Wheels,
55,TRUE,FIREWORKS: CONSUMER_NON_AERIAL FIRECRACKERS,FIREWORKS,CONSUMER_NON_AERIAL,FIRECRACKERS,Fireworks,Consumer Non-Aerial,Firecrackers,
56,TRUE,FIREWORKS: CONSUMER_NON_AERIAL CHASERS,FIREWORKS,CONSUMER_NON_AERIAL,CHASERS,Fireworks,Consumer Non-Aerial,Chasers,
57,TRUE,FIREWORKS: CONSUMER_NON_AERIAL OTHER_SPECIALTY_ITEMS,FIREWORKS,CONSUMER_NON_AERIAL,OTHER_SPECIALTY_ITEMS,Fireworks,Consumer Non-Aerial,Other Specialty Items,
58,TRUE,FIREWORKS: DEREGULATED_NOVELTIES SNAP_CAPS,FIREWORKS,DEREGULATED_NOVELTIES,SNAP_CAPS,Fireworks,Deregulated Novelties,Snap Caps,
59,TRUE,FIREWORKS: DEREGULATED_NOVELTIES PARTY_POPPERS,FIREWORKS,DEREGULATED_NOVELTIES,PARTY_POPPERS,Fireworks,Deregulated Novelties,Party Poppers,
60,TRUE,FIREWORKS: DEREGULATED_NOVELTIES SMOKE_BALLS,FIREWORKS,DEREGULATED_NOVELTIES,SMOKE_BALLS,Fireworks,Deregulated Novelties,Smoke Balls,
61,TRUE,FIREWORKS: DEREGULATED_NOVELTIES SNAKES,FIREWORKS,DEREGULATED_NOVELTIES,SNAKES,Fireworks,Deregulated Novelties,Snakes,
62,TRUE,FIREWORKS: DEREGULATED_NOVELTIES WIRE_CORE_SPARKLERS,FIREWORKS,DEREGULATED_NOVELTIES,WIRE_CORE_SPARKLERS,Fireworks,Deregulated Novelties,Wire-Core Sparklers,
63,TRUE,FIREWORKS: MODEL_AMATEUR_ROCKETS ,FIREWORKS,MODEL_AMATEUR_ROCKETS,,Fireworks,Model / Amateur Rockets,,
64,TRUE,FIREWORKS: OTHER ,FIREWORKS,OTHER,,Fireworks,Other,,
65,TRUE,FIREWORKS: UNKNOWN ,FIREWORKS,UNKNOWN,,Fireworks,Unknown,,
66,TRUE,POWER_GEN_TRANS_DIST: ELECTRICAL_TRANSMISSION_DISTRIBUTION_SYSTEMS ,POWER_GEN_TRANS_DIST,ELECTRICAL_TRANSMISSION_DISTRIBUTION_SYSTEMS,,Power Generation / Transmission / Distribution,Electrical Transmission / Distribution Systems,,
67,TRUE,POWER_GEN_TRANS_DIST: SOLAR_UTILITY_SYSTEM ,POWER_GEN_TRANS_DIST,SOLAR_UTILITY_SYSTEM,,Power Generation / Transmission / Distribution,Solar Utility System,,Includes photovoltaic systems
68,TRUE,POWER_GEN_TRANS_DIST: ENERGY_STORAGE_SYSTEM ,POWER_GEN_TRANS_DIST,ENERGY_STORAGE_SYSTEM,,Power Generation / Transmission / Distribution,Energy Storage System,,
69,TRUE,POWER_GEN_TRANS_DIST: OTHER ,POWER_GEN_TRANS_DIST,OTHER,,Power Generation / Transmission / Distribution,Other,,
70,TRUE,POWER_GEN_TRANS_DIST: UNKNOWN ,POWER_GEN_TRANS_DIST,UNKNOWN,,Power Generation / Transmission / Distribution,Unknown,,
71,TRUE,POWER_GEN_TRANS_DIST: BATTERY_CONSUMER_PRODUCT ,POWER_GEN_TRANS_DIST,BATTERY_CONSUMER_PRODUCT,,Power Generation / Transmission / Distribution,Battery Consumer Product,,Prompts consumer_product
72,TRUE,RECREATION_CEREMONY: BARBEQUE_SMOKER ,RECREATION_CEREMONY,BARBEQUE_SMOKER,,Recreation / Ceremony,Barbeque / Smoker,,
73,TRUE,RECREATION_CEREMONY: LUMINARY_CANDLES_INCENSE ,RECREATION_CEREMONY,LUMINARY_CANDLES_INCENSE,,Recreation / Ceremony,"Luminary, candle or incense",,
74,TRUE,RECREATION_CEREMONY: OTHER ,RECREATION_CEREMONY,OTHER,,Recreation / Ceremony,Other,,
75,TRUE,RECREATION_CEREMONY: UNKNOWN ,RECREATION_CEREMONY,UNKNOWN,,Recreation / Ceremony,Unknown,,
76,TRUE,RECREATION_CEREMONY: EXPOSURE_FIRE_PIT_OPEN_FLAME ,RECREATION_CEREMONY,EXPOSURE_FIRE_PIT_OPEN_FLAME,,Recreation / Ceremony,Exposure from Fire Pit or Open Flame,,
77,TRUE,SMOKING_MATERIALS_ILLICIT_DRUGS: CIGAR_CIGARETTE_PIPE ,SMOKING_MATERIALS_ILLICIT_DRUGS,CIGAR_CIGARETTE_PIPE,,Smoking Materials and Illicit Drugs,Cigar / Cigarette / Pipe,,
78,TRUE,SMOKING_MATERIALS_ILLICIT_DRUGS: ELECTRONIC_CIGARETTE ,SMOKING_MATERIALS_ILLICIT_DRUGS,ELECTRONIC_CIGARETTE,,Smoking Materials and Illicit Drugs,Electronic Cigarette,,
79,TRUE,SMOKING_MATERIALS_ILLICIT_DRUGS: DRUG_PARAPHERNALIA ,SMOKING_MATERIALS_ILLICIT_DRUGS,DRUG_PARAPHERNALIA,,Smoking Materials and Illicit Drugs,Drug Paraphernalia,,
80,TRUE,SMOKING_MATERIALS_ILLICIT_DRUGS: ILLEGAL_SUBSTANCE_MANUFACTURE ,SMOKING_MATERIALS_ILLICIT_DRUGS,ILLEGAL_SUBSTANCE_MANUFACTURE,,Smoking Materials and Illicit Drugs,Illegal Substance Manufacture,,
81,TRUE,SMOKING_MATERIALS_ILLICIT_DRUGS: OTHER ,SMOKING_MATERIALS_ILLICIT_DRUGS,OTHER,,Smoking Materials and Illicit Drugs,Other,,
82,TRUE,SMOKING_MATERIALS_ILLICIT_DRUGS: UNKNOWN ,SMOKING_MATERIALS_ILLICIT_DRUGS,UNKNOWN,,Smoking Materials and Illicit Drugs,Unknown,,
83,TRUE,MISUSE_FIRE: LIGHTER_MATCHES ,MISUSE_FIRE,LIGHTER_MATCHES,,Misuse of Fire,Lighter / Matches,,
84,TRUE,MISUSE_FIRE: GLASS_REFRACTION_MAGNIFYING_GLASS ,MISUSE_FIRE,GLASS_REFRACTION_MAGNIFYING_GLASS,,Misuse of Fire,Glass Refraction / Magnifying Glass,,
85,TRUE,MISUSE_FIRE: INCENDIARY_DEVICE ,MISUSE_FIRE,INCENDIARY_DEVICE,,Misuse of Fire,Incendiary Device,,
86,TRUE,MISUSE_FIRE: FLINT_FRICTION ,MISUSE_FIRE,FLINT_FRICTION,,Misuse of Fire,Flint / Friction,,
87,TRUE,MISUSE_FIRE: OTHER ,MISUSE_FIRE,OTHER,,Misuse of Fire,Other,,
88,TRUE,MISUSE_FIRE: UNKNOWN ,MISUSE_FIRE,UNKNOWN,,Misuse of Fire,Unknown,,
89,TRUE,ARSON: DEVICE ,ARSON,DEVICE,,Arson,Device,,
90,TRUE,ARSON: HOT_SET ,ARSON,HOT_SET,,Arson,Hot Set,,
91,TRUE,ARSON: OTHER ,ARSON,OTHER,,Arson,Other,,
92,TRUE,ARSON: UNKNOWN ,ARSON,UNKNOWN,,Arson,Unknown,,
93,TRUE,EXPOSURE: SPREAD_FROM_OUTSIDE_STRUCTURE ,EXPOSURE,SPREAD_FROM_OUTSIDE_STRUCTURE,,Exposure,Spread From Other Structure or Outdoor Object,,
94,TRUE,EQUIPMENT_APPLIANCE: ELECTRIC_FENCE ,EQUIPMENT_APPLIANCE,ELECTRIC_FENCE,,Equipment or Appliance,Electric Fence,,
95,TRUE,UNDETERMINED: UNDER_INVESTIGATION ,UNDETERMINED,UNDER_INVESTIGATION,,Undetermined,Under Investigation,,
96,TRUE,UNDETERMINED: NOT_INVESTIGATED ,UNDETERMINED,NOT_INVESTIGATED,,Undetermined,Not Investigated,,
97,TRUE,UNDETERMINED: ORIGIN_AND_OR_CAUSE_NOT_IDENTIFIED ,UNDETERMINED,ORIGIN_AND_OR_CAUSE_NOT_IDENTIFIED,,Undetermined,Origin and / or Cause Not Identified,,
98,TRUE,UNDETERMINED: ORIGIN_DESTROYED ,UNDETERMINED,ORIGIN_DESTROYED,,Undetermined,Origin Destroyed,,
