value,active,value_1,value_2,value_3,value_4,description_1,description_2,description_3,definition_1,definition_2,definition_3,source
CONSUMER_PRODUCTS: APPLIANCE_TOOL,TRUE,CONSUMER_PRODUCTS: APPLIANCE_TOOL: ,CONSUMER_PRODUCTS,APPLIANCE_TOOL,,Appliances / Tools,Consumer Products,,,,,
CONSUMER_PRODUCTS: CELL_PHONE,TRUE,CONSUMER_PRODUCTS: CELL_PHONE: ,CONSUMER_PRODUCTS,CELL_PHONE,,Cell Phone,Consumer Products,,,,,
CONSUMER_PRODUCTS: COMPUTER_TABLET,TRUE,CONSUMER_PRODUCTS: COMPUTER_TABLET: ,CONSUMER_PRODUCTS,COMPUTER_TABLET,,Computer / Tablet,Consumer Products,,,,,
CONSUMER_PRODUCTS: ELECTRONIC_CIGARETTE,TRUE,CONSUMER_PRODUCTS: ELECTRONIC_CIGARETTE: ,CONSUMER_PRODUCTS,ELECTRONIC_CIGARETTE,,Electronic Cigarette,Consumer Products,,,,,
CONSUMER_PRODUCTS: POWER_BANK,TRUE,CONSUMER_PRODUCTS: POWER_BANK: ,CONSUMER_PRODUCTS,POWER_BANK,,Power Bank,Consumer Products,,,,,
CONSUMER_PRODUCTS: TOY,TRUE,CONSUMER_PRODUCTS: TOY: ,CONSUMER_PRODUCTS,TOY,,Toy,Consumer Products,,,,,
CONSUMER_PRODUCTS: OTHER,TRUE,CONSUMER_PRODUCTS: OTHER: ,CONSUMER_PRODUCTS,OTHER,,Other,Consumer Products,,,,,
ENERGY_STORAGE_SYSTEM: HYDROELECTRIC,TRUE,ENERGY_STORAGE_SYSTEM: HYDROELECTRIC: ,ENERGY_STORAGE_SYSTEM,HYDROELECTRIC,,Pumped-Storage Hydroelectric,Energy Storage System,,,,,
ENERGY_STORAGE_SYSTEM: BATTERY,TRUE,ENERGY_STORAGE_SYSTEM: BATTERY: ,ENERGY_STORAGE_SYSTEM,BATTERY,,Battery (Electro-Chemical),Energy Storage System,,,,,
ENERGY_STORAGE_SYSTEM: COMPRESSED_AIR,TRUE,ENERGY_STORAGE_SYSTEM: COMPRESSED_AIR: ,ENERGY_STORAGE_SYSTEM,COMPRESSED_AIR,,Compressed-Air Storage,Energy Storage System,,,,,
ENERGY_STORAGE_SYSTEM: FLYWHEEL,TRUE,ENERGY_STORAGE_SYSTEM: FLYWHEEL: ,ENERGY_STORAGE_SYSTEM,FLYWHEEL,,Flywheel,Energy Storage System,,,,,
ENERGY_STORAGE_SYSTEM: OTHER,TRUE,ENERGY_STORAGE_SYSTEM: OTHER: ,ENERGY_STORAGE_SYSTEM,OTHER,,Other,Energy Storage System,,,,,
E_MOBILITY: POWER_ASSISTED_BICYCLE,TRUE,E_MOBILITY: POWER_ASSISTED_BICYCLE: ,E_MOBILITY,POWER_ASSISTED_BICYCLE,,Power Assisted Bicycle,E-Mobility,,,,,
E_MOBILITY: ELECTRIC_SCOOTER_MOPED,TRUE,E_MOBILITY: ELECTRIC_SCOOTER_MOPED: ,E_MOBILITY,ELECTRIC_SCOOTER_MOPED,,Electric Scooter/Moped,E-Mobility,,,,,
E_MOBILITY: PERSONAL_MOBILITY_ASSIST,TRUE,E_MOBILITY: PERSONAL_MOBILITY_ASSIST: ,E_MOBILITY,PERSONAL_MOBILITY_ASSIST,,Personal Mobility Assist,E-Mobility,,,,,
E_MOBILITY: OTHER,TRUE,E_MOBILITY: OTHER: ,E_MOBILITY,OTHER,,Other,E-Mobility,,,,,
ELECTRIC_VEHICLE: CAR_RR: FULL_ELECTRIC,TRUE,ELECTRIC_VEHICLE: CAR_RR: FULL_ELECTRIC,ELECTRIC_VEHICLE,CAR_RR,FULL_ELECTRIC,Road Registered Car,Electric Vehicle,Full Electric,,,,
ELECTRIC_VEHICLE: CAR_RR: PLUG_IN_HYBRID,TRUE,ELECTRIC_VEHICLE: CAR_RR: PLUG_IN_HYBRID,ELECTRIC_VEHICLE,CAR_RR,PLUG_IN_HYBRID,Road Registered Car,Electric Vehicle,Plug-In Hybrid,,,,
ELECTRIC_VEHICLE: CAR_RR: HYBRID,TRUE,ELECTRIC_VEHICLE: CAR_RR: HYBRID,ELECTRIC_VEHICLE,CAR_RR,HYBRID,Road Registered Car,Electric Vehicle,Hybrid,,,,
ELECTRIC_VEHICLE: CAR_RR: FUEL_CELL,TRUE,ELECTRIC_VEHICLE: CAR_RR: FUEL_CELL,ELECTRIC_VEHICLE,CAR_RR,FUEL_CELL,Road Registered Car,Electric Vehicle,Fuel Cell,,,,
ELECTRIC_VEHICLE: TRUCK_PASSENGER_RR: FULL_ELECTRIC,TRUE,ELECTRIC_VEHICLE: TRUCK_PASSENGER_RR: FULL_ELECTRIC,ELECTRIC_VEHICLE,TRUCK_PASSENGER_RR,FULL_ELECTRIC,Road Registered Passenger Truck,Electric Vehicle,Full Electric,,,,
