,active,value,description,definition,source
0,True,TYPE_IA,Type I-A,Fire resistive non-combustible,
1,True,TYPE_IB,Type I-B,Fire resistive non-combustible,
2,True,TYPE_IIA,Type II-A,Protected non-combustible,
3,True,TYPE_IIB,Type II-B,Unprotected non-combustive,
4,True,TYPE_IIIA,Type III-A,Protected combustible,
5,True,TYPE_IIIB,Type III-B,Unprotected combustible,
6,True,TYPE_IV,Type IV,Heavy timber,
7,True,TYPE_VA,Type V-A,Protected wood frame,
8,True,TYPE_VB,Type V-B,Unprotected wood frame,
9,True,UNKNOWN,UNKNOWN,Unknown,
