,active,value,description,definition,source
0,True,24_ON_24_OFF,"24 hours on, 24 hours off",,
1,True,24_ON_48_OFF,"24 hours on, 48 hours off",,
2,True,24_ON_72_OFF,"24 hours on, 72 hours off",,
3,True,48_ON_96_OFF,"48 hours on, 96 hours off",,
4,True,72_ON_96_OFF,"72 hours on, 96 hours off",,
5,True,10_ON_14_OFF,"10 hours on, 14 hours off",,
6,True,9_ON_15_OFF,"9 hours on, 15 hours off",,
7,True,12_ON_12_OFF,"12 hours on, 12 hours off",,
8,True,8_HRS_5_DAYS,"8 hours, 5 days a week",,
9,True,10_HRS_4_DAYS,"10 hours, 4 days a week",,
10,True,OTHER,Other,,
