,active,value,description,definition,source
0,True,ATTACHED FENCE,Attached Fence,,
1,True,ATTACHED PATIO COVER/CARPORT,Attached Patio Cover/Carport,,
2,True,DECK ELEVATED,Deck Elevated,,
3,True,DECK ON GRADE,Deck on Grade,,
4,True,EAVES,Eaves,,
5,True,ROOF,Roof,,
6,True,SIDING,Siding,,
7,True,WINDOW,Window,,
8,True,VENT,Vent,,
9,True,UNKNOWN,Unknown,,
10,True,OTHER,Other,,
