,active,value,description,definition,source
0,True,DRIVING_RIDING_DEPARTMENT_VEHICLE,Driving or riding in department vehicle,,
1,True,DRIVING_RIDING_OTHER_VEHICLE,Driving or riding in other vehicle,,
2,True,MOVING_ABOUT_STATION_ALARM,"Moving about station, alarm sounding",,
3,True,MOVING_ABOUT_STATION_NORMAL,"Moving about station, normal activity",,
4,True,STATION_MAINTENANCE,Station maintenance,,
5,True,VEHICLE_MAINTENANCE,Vehicle maintenance,,
6,True,EQUIPMENT_MAINTENANCE,Equipment maintenance,,
7,True,PHYSICAL_FITNESS_ACTIVITY,Physical fitness activity,,
8,True,COOKING_ACTIVITY,Cooking activity,,
9,True,TRAINING_ACTIVITY_DRILL,Training activity or drill,,
10,True,INVESTIGATION,Investigation,,
11,True,INSPECTION,Inspection,,
12,True,ADMINISTRATIVE_WORK,Administrative work,,
13,True,COMMUNICATIONS_WORK,Communications work,,
14,True,AT_REST,At rest,,
15,True,OTHER,Other,,
