,active,value,description,definition,source
0,True,DOUBLE PANE,Double Pane,,
1,True,TRIPLE PANE,Triple Pane,,
2,True,SINGLE PANE,Single Pane,,
3,True,NO WINDOWS,No Windows,,
4,True,UNKNOWN,Unknown,,
