,active,value,description,definition,source
0,True,"MESH SCREEN <= 1/8 """,Mesh Screen <= 1/8 inch,,
1,True,"MESH SCREEN > 1/8 """,Mesh Screen > 1/8 inch,,
2,True,NO VENTS,No Vents,,
3,True,UNSCREENED,Unscreened,,
4,True,UNKNOWN,Unknown,,
