value,active,description,definition,source
INTENTIONAL,True,Intentional,,
UNINTENTIONAL,True,Unintentional,,
CONTAINER_CONTAINMENT_FAILURE,True,Container / Containment Failure,,
ACT_OF_NATURE,True,Act of Nature,,
CAUSE_UNDER_INVESTIGATION,True,Cause Under Investigation,,
