name,group,type,value_set,reference_location,possible_if,db_required,neris_core,neris_core_if,neris_core_app,neris_core_cad,computed,computed_from,cardinality,map_orm_landing,map_app,definition,example,comments
time_command_established,tactics.time,Datetime (UTC),FALSE,,,FALSE,TRUE,,FALSE,FALSE,FALSE,,Single,,,Timestamp at which incident command is established.,08/23/2023 13:45:52 <nc:DateTime>2000-01-01T12:00:00</nc:DateTime>,On an incident basis. In UTC: ISO 8601 formatted datetime string with 00:00 offset.
time_360_completed,tactics.time,Datetime (UTC),FALSE,,dispatch_incident_type = FIRE,FALSE,TRUE,,FALSE,FALSE,FALSE,,Single,,,Timestamp at which incident 360 is complete.,08/23/2023 13:45:52 <nc:DateTime>2000-01-01T12:00:00</nc:DateTime>,On an incident basis. In UTC: ISO 8601 formatted datetime string with 00:00 offset.
time_water_on_fire,tactics.time,Datetime (UTC),FALSE,,dispatch_incident_type = FIRE,FALSE,TRUE,,FALSE,FALSE,FALSE,,Single,,,Timestamp at which water is first applied to fire.,08/23/2023 13:45:52 <nc:DateTime>2000-01-01T12:00:00</nc:DateTime>,On an incident basis. In UTC: ISO 8601 formatted datetime string with 00:00 offset.
time_fire_under_control,tactics.time,Datetime (UTC),FALSE,,dispatch_incident_type = FIRE,FALSE,TRUE,,FALSE,FALSE,FALSE,,Single,,,"Timestamp at which fire is considered contained (e.g. in a wildfire), but not yet extinguished.",08/23/2023 13:45:52 <nc:DateTime>2000-01-01T12:00:00</nc:DateTime>,On an incident basis. In UTC: ISO 8601 formatted datetime string with 00:00 offset.
time_fire_knocked_down,tactics.time,Datetime (UTC),FALSE,,dispatch_incident_type = FIRE,FALSE,TRUE,,FALSE,FALSE,FALSE,,Single,,,Timestamp at which fire is has been knocked down.,08/23/2023 13:45:52 <nc:DateTime>2000-01-01T12:00:00</nc:DateTime>,On an incident basis. In UTC: ISO 8601 formatted datetime string with 00:00 offset.
time_suppression_complete,tactics.time,Datetime (UTC),FALSE,,dispatch_incident_type = FIRE,FALSE,TRUE,,FALSE,FALSE,FALSE,,Single,,,Timestamp at which suppression is complete.,08/23/2023 13:45:52 <nc:DateTime>2000-01-01T12:00:00</nc:DateTime>,On an incident basis. In UTC: ISO 8601 formatted datetime string with 00:00 offset.
time_primary_search_begin,tactics.time,Datetime (UTC),FALSE,,dispatch_incident_type = FIRE,FALSE,TRUE,,FALSE,FALSE,FALSE,,Single,,,Timestamp at which primary search operations begin.,08/23/2023 13:45:52 <nc:DateTime>2000-01-01T12:00:00</nc:DateTime>,On an incident basis. In UTC: ISO 8601 formatted datetime string with 00:00 offset.
time_primary_search_complete,tactics.time,Datetime (UTC),FALSE,,dispatch_incident_type = FIRE,FALSE,TRUE,,FALSE,FALSE,FALSE,,Single,,,Timestamp at which primary search operations are complete.,08/23/2023 13:45:52 <nc:DateTime>2000-01-01T12:00:00</nc:DateTime>,On an incident basis. In UTC: ISO 8601 formatted datetime string with 00:00 offset.
